Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Estimate Total Education,Margin of Error Total Education,Estimate Less than high school graduate,Margin of Error Less than high school graduate,Population
0.46392417556996784,0.22906245045568227,0.0005926288280634354,0.18609990266352705,0.0010054611276948944,0.011121525702009758,0.0001397910402952508,0.4570794342955329,8.685602177213081e-05,0.04256264502291015,0.0014837016398692889,0.44876894061164746,0.00033342977184677887,0.056358606057315005,0.0021180091894135718,0.36644996710816347,0.00047337292426422256,1.019151218692253e-06,4.563363665786207e-08,1.2473194019815632e-06,6.084484887714943e-08,0.18609990266352705,0.0010054611276948944,0.1346624279833959,0.0012555334565799786,0.00012457982807596345,1.8253454663144829e-06,9.567852485931748e-05,1.3690090997358622e-06,0.006295464401196459,0.00041359286024242325,8.822503087186667e-06,6.084484887714943e-07,4.639419726882644e-06,5.628148521136322e-07,6.221385797688529e-06,3.0422424438574717e-08,5.339135488969862e-06,3.0422424438574717e-08,0.3070816706011403,0.0006032766766169366,0.028999263423338188,0.0009084135937358409,3062309
0.467719050411647,0.23182280193512833,0.0006041218456027651,0.18021545198566233,0.0011372475143867921,0.012300005841015952,0.00018370669716000684,0.45876960607662504,0.00030230630129269155,0.0637077812842173,0.0019846212377072152,0.4540082818312651,0.00035449012711107286,0.06175849454925857,0.002521509376691314,0.36205203787057283,0.0006059212878723644,1.292326720894082e-06,6.543426434906745e-08,1.5540637782903516e-06,9.815139652360116e-08,0.18021545198566233,0.0011372475143867921,0.1226740321880403,0.0014307201899923596,0.0001442825528896937,2.453784913090029e-06,0.00011156542071515998,1.3086852869813487e-06,0.0065589670726896475,0.00048764885506142507,9.651553991487448e-06,6.543426434906744e-07,5.218382581838128e-06,6.379840774034075e-07,6.7397292279539466e-06,3.271713217453372e-08,5.807290960979736e-06,4.907569826180058e-08,0.3011090178407645,0.000823326631172141,0.03265317018113251,0.0011647299054134005,2871238
0.4637244618870975,0.22837970906476937,0.00043072735369584204,0.17971135911391728,0.001045716817828325,0.006858455541967407,9.261118231557862e-05,0.45267599051481316,0.0004644429454144167,0.06903598158600727,0.0016901540772593098,0.4497876525926184,0.0003185910027584306,0.08538004145122835,0.002230137019309014,0.36677036993445283,0.0004960246389229551,1.194982997620369e-06,4.2677964200727474e-08,1.5470762022763708e-06,5.334745525090934e-08,0.17971135911391728,0.001045716817828325,0.12337047145396893,0.0012841799427998897,7.906092868184764e-05,1.066949105018187e-06,6.540398013761485e-05,7.468643735127308e-07,0.0061175660834427775,0.0003854887116430709,5.7615251670982085e-06,3.2008473150545606e-07,3.841016778065472e-06,3.6276269570618353e-07,4.385160821624748e-06,2.1338982100363737e-08,3.83034728701529e-06,2.1338982100363737e-08,0.3097681872192142,0.0004999723506115223,0.05598185928610974,0.0011882612182587547,4369356
0.46694976762763596,0.2288405576928561,0.00042654296514662486,0.17364049300168632,0.0009880054468525171,0.00709966430930152,0.00010522283698148491,0.45627191032090353,0.0001880447184337084,0.08127919546432989,0.0018883594484460431,0.45355666789473287,0.0003544077780753335,0.08478905527172889,0.0021682686358850717,0.36483120985045836,0.00040290892949648667,1.0378424350712866e-06,4.1102670695892545e-08,1.4899718127261048e-06,5.137833836986568e-08,0.17364049300168632,0.0009880054468525171,0.11729715752511032,0.0011815990258301709,7.244345710151061e-05,1.438593474356239e-06,7.562891408044228e-05,1.0275667673973137e-06,0.006970190896609458,0.0004795654103443263,6.165400604383882e-06,4.1102670695892543e-07,4.983698821876971e-06,3.1854569789316724e-07,4.418537099808448e-06,2.0551335347946273e-08,3.760894368674168e-06,2.0551335347946273e-08,0.3027116133043118,0.000485011514211532,0.05465381019762136,0.0011320703076416205,4574836
0.45659153416768444,0.22317308581377407,0.0005069543920293039,0.18758585050030316,0.0019177596268354128,0.024237854049851515,0.0004780641824428307,0.4515942157713576,0.00034083568690708286,0.045765187364572135,0.0021602310287218845,0.4447069961645823,0.0003941450022154561,0.057519719424535175,0.0026489570742263898,0.37440507865336525,0.0006441828875650517,2.854627851996759e-06,1.719655332528168e-07,3.0265933852495757e-06,2.0635863990338014e-07,0.18758585050030316,0.0019177596268354128,0.1363325551075006,0.0018740803813891973,0.0003263905821138463,6.1907591971014044e-06,0.00024315926401948293,5.502897064090138e-06,0.004898954111306245,0.0006572522680922658,1.5820829059259145e-05,2.0635863990338016e-06,1.3275739167117456e-05,2.373124358888872e-06,1.4032387513429848e-05,1.0317931995169007e-07,1.2003194221046611e-05,1.0317931995169007e-07,0.32226822435070973,0.00060256722851787,0.031224469734846955,0.001661530982288716,1328188
0.46671143952617095,0.22582233162203919,0.0002742523039976587,0.17160442569543383,0.0007040217968504603,0.008402122645180034,9.82468547850436e-05,0.4588078107747278,0.00023004928558862427,0.05169341346830692,0.0013314142734662806,0.45524438605893236,0.0002847384215034515,0.04494027313213399,0.0016979444115149162,0.37077774160046284,0.00031369623830791016,7.098294926998225e-07,2.4198732705675766e-08,5.323721195248668e-07,3.226497694090102e-08,0.17160442569543383,0.0007040217968504603,0.1150461796664202,0.0009734343543069838,0.00013486760361296627,1.2099366352837883e-06,9.122922230039763e-05,8.066244235225255e-07,0.006372332945827951,0.0003779842048626555,4.2751094446693855e-06,2.4198732705675767e-07,2.6699268418595596e-06,2.581198155272082e-07,3.2910276479719038e-06,8.066244235225256e-09,2.9683778785628935e-06,1.613248847045051e-08,0.3124438732279491,0.00028707763233166685,0.03731662371809554,0.0009089044004251817,5828289
0.46451398758495127,0.2245737185840631,0.00016944859209406916,0.17854575712255089,0.0007429669037970725,0.0071344091166295545,7.870292049185236e-05,0.4589044032780311,0.00010831392028086612,0.0202401101117647,0.0009643410050905366,0.4486711817815675,0.0001863084436485794,0.051368921578958865,0.0015209994652390297,0.3764335184828829,0.00030666511503980995,7.225650666218668e-07,1.4167942482781704e-08,5.808856417940498e-07,2.833588496556341e-08,0.17854575712255089,0.0007429669037970725,0.11110372983515067,0.0007573473654170959,0.00011688552548294905,8.500765489669022e-07,7.147726982563369e-05,7.792368365529937e-07,0.005601154381142918,0.0002948348830666872,3.3294664834537e-06,2.1251913724172554e-07,2.231450941038118e-06,1.9126722351755302e-07,2.8548404102805128e-06,1.4167942482781704e-08,2.4510540495212346e-06,1.4167942482781704e-08,0.31586705200295184,0.00017320309685200632,0.03438566724542361,0.000781362027925411,6587536
0.4628248682383783,0.2271941175150416,0.00017650703286596194,0.17836351949967108,0.0005757212404629876,0.003321302896373236,2.1553818720027207e-05,0.45748837700393785,5.6649058331549774e-05,0.05657333882926376,0.0009554432989566843,0.4524638070112783,0.00018433200618388486,0.07582525656611971,0.0014178664227565724,0.36704180637232175,0.00020738522098878354,7.075275275487192e-07,9.371225530446613e-09,5.669591445920201e-07,1.4056838295669917e-08,0.17836351949967108,0.0005757212404629876,0.1297668272735405,0.0006857394281904309,4.5403587695013835e-05,3.279928935656314e-07,3.420497318613014e-05,2.3428063826116531e-07,0.006036709206075446,0.00028493211225322923,2.5302308932205852e-06,1.4056838295669918e-07,1.911730008211109e-06,1.1245470636535934e-07,1.8695594933240991e-06,4.685612765223307e-09,1.6071651784715938e-06,4.685612765223307e-09,0.30783543430576843,0.00019829513222425032,0.03472610703787827,0.0005666780078261067,9876187
0.46344850350610517,0.22998803818835728,0.0002702715963740349,0.1825269670174104,0.0007136845705995665,0.0074131388523050595,8.150909622646065e-05,0.4583439745377132,5.93428109571662e-05,0.041562570299483854,0.0011693151823751028,0.45285546267489246,0.00019906022322543546,0.05231906566734773,0.0013109525091155158,0.36437026994505833,0.0002775149100643949,7.243313690359993e-07,1.7453767928578295e-08,6.54516297321686e-07,2.618065189286744e-08,0.1825269670174104,0.0007136845705995665,0.13328814231409816,0.0009117848365889302,0.00010297723077861195,7.854195567860233e-07,6.66733934871691e-05,6.981507171431318e-07,0.006392529772681443,0.00033432692467191724,4.974323859644814e-06,2.6180651892867444e-07,2.609338305322455e-06,2.2689898307151784e-07,3.5082073536442376e-06,8.726883964289148e-09,3.036955619572623e-06,8.726883964289148e-09,0.30789284406872686,0.00030587728294833466,0.025212404117029564,0.0007293929617352869,5344861
0.46812010427114364,0.22720493398378347,0.0006540992879295895,0.1702232715336551,0.001311823704442885,0.009233675345558329,0.00014169524333703637,0.4575396148495953,0.00023122015792595367,0.08323531649618711,0.0024397115368342444,0.45323469584930115,0.00039639992991395603,0.1014851594722814,0.003538755954842203,0.3628824638718676,0.000589635044854119,1.9386557208515545e-06,6.304571449923754e-08,2.8055342952160706e-06,1.2609142899847508e-07,0.1702232715336551,0.001311823704442885,0.11874250528787145,0.0014462686906125091,0.00010244928606126099,2.206600007473314e-06,0.00010591680035871906,1.8913714349771261e-06,0.007237490410226221,0.0005949939305865543,9.772085747381818e-06,7.880714312404692e-07,8.069851455902405e-06,6.462185736171847e-07,6.5725157365455134e-06,4.728428587442815e-08,5.784444305305045e-06,3.152285724961877e-08,0.3001615924165874,0.0007478797882472053,0.05702343023598412,0.0015189288765728804,2978512
