Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Population
0.5039657599754868,0.2460915535672195,0.0003443281160001275,0.1806954668054798,0.0008143287300340568,0.0037590709300399693,2.9212888684157893e-05,0.4939643150256464,0.00015872509144731616,0.09731918433000228,0.0018095905734635993,0.49018013035116037,0.0002530572968252896,0.08763513767515481,0.0019175174090995646,0.3890453691661145,0.00033083726154563184,6.537875620255585e-07,1.556637052441806e-08,7.108642539484247e-07,2.075516069922408e-08,9815210
0.5063740358265241,0.25403238513227605,0.00058783936204663,0.16555012108195338,0.0015681905406967269,0.03344779975885285,0.0006669358775968083,0.4885702642700089,0.0008574359361754067,0.03853225746266994,0.0022923135703814576,0.4925421719241155,0.0005607311665763811,0.0527997092183197,0.0035749396957820007,0.4061197593843883,0.0006736200901785135,3.0078956617673423e-06,2.2280708605684016e-07,2.7479540613676956e-06,2.970761147424536e-07,1374810
0.5030969774101577,0.252118672749603,0.0008467921379934882,0.1846323807599571,0.0018373308430792547,0.020732480931690094,0.0003973039861058294,0.49675323971097396,0.0003054214365390502,0.08817011038637378,0.003432629604372847,0.4936237905053458,0.00040818902682105763,0.07756295835764021,0.003453759389290643,0.38021543262769014,0.0006697501522428648,3.201482563302413e-06,1.9208895379814476e-07,3.7137197734307986e-06,2.2410377943116889e-07,1584985
0.5026427846453678,0.24634516392036676,0.00020676068745677492,0.18601248924924188,0.0005314411082671866,0.003306840341846061,2.676969718350067e-05,0.49599258915542976,9.518114554133572e-05,0.06831579756848348,0.0010372083549080918,0.4909130782518447,0.00012488611653881673,0.0677739460224227,0.0012490568503090993,0.3946960941500474,0.00024863726053622775,4.461616197250112e-07,7.827396837280898e-09,3.9528354028268534e-07,7.827396837280898e-09,12869259
0.5030573054472357,0.2477939452358546,0.0002949075361551278,0.19150814865266388,0.0008668963973443112,0.005303607829581929,4.557309625734958e-05,0.49537258084347296,7.363000245660221e-05,0.07346879150385512,0.001534836777524309,0.4878504622872407,0.0002797165040693446,0.07462013222647915,0.0019378641593920263,0.3930177318074381,0.0003758230335916464,8.370568700329514e-07,2.3251579723137537e-08,8.525579231817098e-07,3.100210629751672e-08,6516922
0.5025909718199068,0.2481541718332111,0.0006420228009436285,0.20161081456973098,0.0010892635303484048,0.012048474093478556,0.0001514422366702245,0.49517574030120515,9.409523083645069e-05,0.046110123705040466,0.0016073640658121541,0.48617258996579593,0.00036122022065411546,0.061055939915097786,0.0022945393943375474,0.3969925578161383,0.0005128272475709888,1.1040946525467945e-06,4.943707399463259e-08,1.3512800225199574e-06,6.591609865951013e-08,3062309
0.5041516491551686,0.24988045238804027,0.0006511794302225709,0.19425318947742676,0.0012258324936115117,0.013258104889909316,0.00019801638238287222,0.49450509506131096,0.00032585420716255375,0.06867024759882462,0.002139211710658064,0.48937289129850076,0.0003821028500656136,0.0665691227435492,0.0027179203188331187,0.3902537897735661,0.0006531190385985385,1.3929914700130816e-06,7.053121367154844e-08,1.6751163246992752e-06,1.0579682050732264e-07,2871238
0.5019911804241232,0.24722568930653865,0.00046627113834546365,0.19454120865244118,0.0011320097663918478,0.007424417895463153,0.00010025349221794958,0.4900309850022877,0.0005027689534847172,0.07473285697948653,0.00182962623297758,0.48690430033888665,0.00034488125318294635,0.09242563486589968,0.002414168772280625,0.3970364000181097,0.000536956780324018,1.2935934479735429e-06,4.619976599905511e-08,1.6747415174657476e-06,5.774970749881888e-08,4369356
0.5031107828192106,0.24656217885399712,0.00045957484076119057,0.1870873708900883,0.0010645174882965183,0.0076494687780949595,0.00011337138928919758,0.4916060225197989,0.00020260707265549958,0.08757353037079543,0.002034595723601156,0.4886805092477503,0.0003818534391195727,0.0913551969176227,0.002336181333389998,0.3930840709425391,0.0004341105638700622,1.1182138982625933e-06,4.4285698941092806e-08,1.605356586614614e-06,5.5357123676366006e-08,4574836
0.4977799094365873,0.24330516475205974,0.000552685918307347,0.20450766316515484,0.0020907575851300993,0.026424311208191085,0.0005211895701812837,0.49233179112382897,0.0003715819165824836,0.049893590040411884,0.002355101935473844,0.4848232867044907,0.0004297001780055764,0.06270847920594119,0.0028879151579397464,0.4081795482353931,0.0007022935719061471,3.1121391600752915e-06,1.8747826265513803e-07,3.2996174227304296e-06,2.2497391518616564e-07,1328188
