Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Population
5928814,2875157,3002,2161680,8942,111628,1184,5834039,2085,593178,17122,5788159,2967,585571,19629,4739307,3530,7.4,0.3,7.1,0.4,5976407
6692824,3245774,2251,2536321,9232,109890,1156,6613654,1154,246666,10384,6456530,2610,770513,23021,5472484,3508,7.8,0.3,8.6,0.4,6745408
9895622,4858138,3600,3832466,10485,77747,649,9784451,851,1071521,19023,9669513,4111,1648436,25647,7923212,4550,9.8,0.2,12.3,0.3,9909877
5420380,2690694,4169,2119954,6871,93216,1025,5362681,492,439779,13984,5292348,2336,592422,16554,4279160,3730,5.4,0.2,7.2,0.3,5457173
2991207,1451232,5443,1091002,7807,61720,1051,2925211,1208,499849,16001,2893768,2850,695915,21951,2333076,3757,10.6,0.5,19.0,0.8,2994079
6044171,2960402,4817,2362853,9949,75392,864,5930677,1536,772833,18341,5861009,3082,931066,25159,4798628,4443,7.5,0.3,11.5,0.5,6063589
1015165,507018,2006,406288,3840,76361,2089,999390,857,164548,7714,990603,976,163637,9336,815994,2198,6.5,0.5,11.3,1.1,1023579
1868516,925274,2103,730579,4441,81433,1213,1840659,988,208578,9171,1815565,1350,239433,11539,1455098,2446,4.6,0.3,8.8,0.6,1881503
2790136,1403068,2051,1002571,7173,76978,1545,2757207,1123,570079,16823,2750476,2092,433576,18630,2205776,2448,11.0,0.5,11.6,0.7,2839099
1323459,652662,1978,519246,4617,96438,2380,1308658,377,140252,6956,1281181,1408,111495,9003,1087554,1894,6.0,0.5,5.1,0.6,1326813
8899339,4343749,2597,3176139,9966,113025,1085,8791652,1201,1160294,21506,8721010,3187,998549,28143,7113632,4751,9.1,0.2,8.7,0.4,8938175
2085287,1034144,2457,753507,6087,70661,1442,2051900,1154,382440,13266,2045402,1557,448461,14432,1632274,3360,9.2,0.6,16.3,0.7,2085572
19651127,9536179,4556,7219356,14194,98773,825,19400069,2026,2069521,30441,19133973,5745,3055645,41913,15908545,6464,8.7,0.2,12.1,0.2,19746227
9848060,4795976,7164,3757480,13443,75719,733,9645320,3881,1508998,26466,9588277,3839,1715397,30951,7810152,7129,9.7,0.2,13.1,0.3,9943964
723393,369155,2070,298298,2835,91184,2113,708181,783,73299,5510,698199,719,82398,5117,578011,1849,2.6,0.3,7.0,0.8,739482
11570808,5658223,4313,4564745,13440,78384,672,11398298,1524,1257556,21001,11248753,4641,1796942,35664,9226076,5467,8.1,0.2,11.6,0.3,11594163
3850568,1906922,3202,1447277,6526,72908,877,3770254,1443,665773,12806,3735207,2100,626906,13621,3000625,2835,6.2,0.3,12.5,0.4,3878051
3930065,1946196,3457,1523799,7789,78773,1223,3893092,601,570882,15195,3852871,2320,642138,19715,3168981,3733,9.2,0.4,11.3,0.5,3970239
12773801,6243308,3926,4938894,14403,86481,661,12569375,1134,1222405,22289,12353256,3882,1690405,39229,10376527,5665,8.3,0.2,9.3,0.3,12787209
1051511,512999,1419,406366,4030,92001,3182,1036046,798,120460,7024,1010827,1740,144446,9182,866805,1645,9.2,0.7,10.7,1.0,1055173
4774839,2321179,4144,1794989,10191,69898,951,4678122,1962,738852,18271,4631801,2952,860380,21666,3812758,4302,9.5,0.4,14.1,0.5,4832482
844877,424160,1916,331406,2992,77110,1847,827039,886,93326,5407,815049,1215,115454,6396,656877,1822,4.0,0.4,9.2,0.8,853175
6495978,3174148,4739,2490249,12758,73274,702,6394644,1872,886662,19503,6335295,3095,1126772,24666,5168275,4334,8.7,0.3,13.3,0.5,6549352
26448193,13145494,8622,9110853,20640,83479,542,25976562,4689,5748167,54720,25834229,6476,4530039,65158,20168039,9709,7.1,0.1,13.6,0.3,26956958
2900872,1458758,2380,899475,5032,83170,971,2874213,958,402124,13201,2851587,2386,361181,15958,2096758,2924,5.5,0.3,9.3,0.6,2942902
626630,308672,1386,253234,2792,85480,3002,620896,121,44904,3867,602538,524,74058,5273,518747,1230,5.8,0.5,7.8,1.0,626562
8260405,4060533,5474,3055863,11608,100149,886,8054191,4117,990626,22364,8010544,3323,938733,25914,6601767,5099,6.6,0.2,8.4,0.3,8326289
6971406,3475830,3303,2644557,11069,91304,1074,6864149,3132,959991,21527,6836262,3828,967282,26419,5550461,5138,7.9,0.2,9.5,0.4,7061530
1854304,916834,2422,738653,5969,66169,1490,1824821,505,255069,9707,1798266,1983,332347,12755,1512727,2370,8.5,0.5,13.5,0.8,1850326
5742713,2855502,3237,2289424,8727,81109,841,5669266,705,517796,13745,5593197,2530,755551,17896,4585045,3929,6.5,0.2,9.2,0.3,5757564
582658,297497,2320,224003,3223,82527,2091,573210,764,77028,5016,569307,563,62039,5844,458613,1874,5.1,0.6,8.4,1.1,584153
3615086,1729120,3404,1253690,9187,33638,824,3588641,531,229395,11114,3581841,2112,1626879,25081,2905959,2919,18.1,0.6,41.6,0.8,3548397
4849377,2347969,5243,1841217,10615,70962,924,4767383,1932,579169,17159,4727549,2783,910175,25515,3868747,3738,8.6,0.3,15.0,0.5,4858979
736732,385582,1999,249659,2978,98975,2717,711541,1618,122436,6141,717723,893,80627,6821,569911,1636,7.6,0.6,7.9,0.9,738432
6731484,3342946,2452,2428743,11353,78549,963,6623074,1740,903328,18176,6573369,3679,1199061,26607,5290469,4130,7.9,0.3,13.2,0.4,6828065
2966369,1456778,4252,1131288,8373,68411,1546,2914376,756,343171,12887,2882856,1835,543882,15436,2343443,3729,6.8,0.3,13.8,0.6,2978204
38802500,19264457,4495,12758648,18835,98670,466,38297457,5321,4766711,47494,38060228,7073,6259098,64461,30704439,9615,8.5,0.1,12.2,0.1,39144818
5355866,2692599,3357,2039592,7530,96931,1273,5266022,2396,542611,15546,5237149,2559,630786,21138,4238297,3544,5.5,0.2,8.0,0.4,5456574
3596677,1754116,1816,1355817,6673,121975,1752,3541282,1220,245399,10937,3485629,1870,374772,16369,2919245,2833,7.9,0.3,7.5,0.5,3590886
935614,454005,925,349743,3705,91131,2862,920930,554,71597,6216,909611,1367,113508,7940,754226,1498,6.7,0.6,8.5,1.0,945934
658893,312633,686,277378,3304,125324,4501,647966,509,34188,4384,624327,573,110666,7793,555126,827,8.9,0.8,14.2,1.7,672228
19893297,9722228,6892,7328046,25793,79196,626,19583357,3419,3245161,43047,19470210,6164,3211615,59681,16308785,7380,8.0,0.2,12.0,0.3,20271272
10097343,4921939,6161,3587521,13961,79611,807,9906878,3443,1568381,28372,9823859,5286,1797969,39080,7881211,6136,8.3,0.3,14.1,0.4,10214860
1419561,717313,1553,450769,4870,96672,2353,1367770,2267,72111,5321,1379804,1532,156729,10340,1143931,1584,5.4,0.5,7.8,0.7,1431603
1634464,817050,2782,591587,4733,74539,2144,1612889,1331,218707,11098,1603083,1505,237981,11550,1250127,3046,5.5,0.6,10.2,0.7,1654930
12880580,6320605,4324,4772421,12392,94388,843,12702393,1320,1237926,21565,12571848,5001,1804535,31908,10240928,4678,8.1,0.2,10.5,0.3,12859995
6596855,3243979,5121,2502739,10912,76177,791,6498029,543,775884,21916,6391460,3622,974218,25464,5192037,4727,7.1,0.3,10.9,0.4,6619680
3107126,1544801,3400,1241471,6257,83934,1272,3062900,1029,188885,8142,3004857,1994,367816,14237,2463632,3335,4.4,0.2,7.9,0.4,3123899
2904021,1444945,3648,1109280,6429,85220,1281,2845414,1780,291474,10608,2821431,1822,382712,13369,2259733,3545,5.2,0.3,9.2,0.4,2911641
4413457,2174158,3527,1712094,8632,70377,897,4328524,1238,366062,10870,4275359,3071,817542,22333,3509151,4192,7.6,0.3,14.5,0.6,4425092
4649676,2272116,3972,1718194,10232,76002,1106,4547572,1845,671753,15760,4518525,2673,896524,23296,3655824,4859,7.5,0.3,14.9,0.6,4670724
1330089,647622,1797,549841,5205,78247,1782,1315996,592,133531,7800,1294009,1312,182791,8933,1102244,1635,5.9,0.4,9.7,0.8,1329328
5976407,2896033,2845,2165438,8230,112887,1171,5885847,2043,463268,15922,5835377,3394,589818,21635,4775143,3954,7.2,0.2,7.1,0.4,6006401
6745408,3269679,2194,2549336,9145,115057,1157,6668348,1237,218722,8296,6509672,2466,757235,20233,5520206,3641,6.7,0.3,8.3,0.4,6794422
9909877,4865257,3056,3834574,12574,79624,623,9798621,623,836728,18020,9686787,4096,1568844,28256,7957568,4941,8.3,0.2,11.4,0.3,9922576
5457173,2712823,3068,2129195,6975,98701,1040,5398211,808,317257,11606,5332552,2450,611354,19609,4318075,3243,4.7,0.2,7.5,0.4,5489594
2994079,1457828,3775,1095823,8793,64810,1167,2927088,1445,424130,13538,2895470,2092,623113,18212,2338899,3586,9.8,0.4,16.5,0.6,2992333
6063589,2970513,3838,2354809,12290,78263,782,5950606,1614,693878,19150,5878658,2718,908628,22347,4827523,4262,6.8,0.3,10.7,0.4,6083672
1023579,513409,1733,410962,3391,75858,1590,1008116,806,143321,6255,997952,1702,153954,7951,822974,1799,4.9,0.5,9.5,0.8,1032949
1881503,936197,2174,740765,3795,81074,1245,1853684,807,179206,6894,1828121,1343,227310,9475,1462485,2455,4.2,0.3,8.7,0.6,1896190
2839099,1426744,2030,1021519,6553,76885,1386,2805532,1104,426653,14933,2800768,2077,426730,18737,2251404,2432,8.9,0.4,11.0,0.6,2890845
1326813,654814,1601,519756,4605,101152,2041,1311921,451,120456,6828,1287504,829,117983,7687,1094383,1948,5.1,0.3,6.0,0.7,1330608
8938175,4363391,2659,3194844,10719,115323,1145,8830969,1326,965411,18972,8762159,3378,972903,23646,7166696,4786,7.5,0.2,8.3,0.3,8958013
2085572,1032779,2949,760916,6897,71731,1655,2050369,1333,297749,10205,2045525,1124,436153,17466,1639468,2924,8.7,0.5,16.5,1.0,2085109
19746227,9574309,3968,7282398,15877,101025,905,19499548,2102,1696559,27877,19228524,4824,3062938,48945,16001813,7423,7.3,0.1,12.2,0.3,19795791
9943964,4842403,6467,3790620,14716,76793,728,9752148,3509,1276054,24579,9691794,3044,1668686,32408,7900178,6904,8.3,0.2,12.8,0.3,10042802
739482,376324,2104,305431,3533,96611,3070,724451,1000,56898,4790,712548,1044,82264,6353,589297,1376,3.0,0.4,7.4,0.9,756928
11594163,5676586,4591,4593172,13994,79702,654,11420809,1495,955205,19575,11276403,3595,1785780,29476,9262560,5573,7.2,0.2,11.6,0.3,11613423
3878051,1920562,2531,1459759,5575,76315,914,3797966,1457,583512,11404,3759517,2366,623840,14892,3029228,2499,5.7,0.3,12.2,0.4,3911338
3970239,1964293,3573,1535511,6674,82059,1007,3931306,976,382661,12691,3893475,2646,644450,21249,3210388,3868,7.8,0.3,11.0,0.5,4028977
12787209,6253250,3783,4945972,12878,87813,648,12582815,841,1064577,20511,12371337,3870,1682212,31577,10405544,4594,7.0,0.2,9.4,0.3,12802503
1055173,511650,1387,409654,3327,91169,2049,1039789,677,77119,5989,1015655,599,145596,9132,868108,1498,7.8,0.6,10.0,1.0,1056298
4832482,2351359,4607,1826914,10151,73073,960,4733742,2463,641557,17047,4691589,2682,843860,23093,3871752,4403,8.1,0.3,13.2,0.6,4896146
853175,427381,2338,334475,2656,80950,2304,835403,736,81931,4450,824373,1078,116843,6179,665564,1723,3.9,0.5,9.4,0.8,858469
6549352,3190199,4846,2509665,11315,74359,959,6448737,1852,776319,19244,6386663,3638,1171307,27981,5222167,4278,7.8,0.3,13.7,0.4,6600299
26956958,13384317,8322,9277197,22719,86136,560,26485838,3842,5047477,42745,26340247,5422,4523708,59686,20605746,8590,6.1,0.1,13.4,0.2,27469114
2942902,1479527,2281,918370,4666,86361,1229,2916303,1341,365523,13446,2897762,1930,339900,16334,2130444,3007,5.0,0.3,8.5,0.6,2995919
626562,308516,1131,257229,3177,83038,2649,620453,264,30716,2627,601819,882,73149,4724,520279,1053,5.5,0.6,8.7,0.9,626042
8326289,4092671,5531,3083820,12955,102635,839,8114884,4560,883636,22450,8080300,3250,953395,25894,6664581,5021,6.1,0.2,8.3,0.3,8382993
7061530,3529597,3659,2679601,9916,94981,1042,6954806,3294,642654,16803,6927889,3758,913619,25464,5635461,3788,6.5,0.3,8.8,0.4,7170351
1850326,914686,2605,735375,6298,65669,1150,1820836,500,156090,7841,1792949,2707,327764,12083,1510708,2400,6.9,0.5,13.1,0.7,1844128
5757564,2857982,2972,2307685,7753,82515,936,5684725,564,417723,11609,5603486,2812,738270,19830,4606827,3970,5.3,0.2,9.0,0.3,5771337
584153,297181,2369,232594,2987,85264,2666,574798,643,68748,4769,570149,749,63774,5334,461972,1568,4.3,0.7,7.4,0.9,586107
3548397,1704416,3135,1233490,9061,33709,781,3521353,565,216196,9274,3515261,1181,1624453,25674,2878013,2575,18.5,0.7,42.3,0.8,3474182
4858979,2352810,5380,1846390,11341,74779,1084,4781070,1376,484271,16014,4736333,2309,876016,23918,3878471,4687,7.2,0.3,13.7,0.5,4863300
738432,388695,1732,250185,2685,105426,3448,713082,1787,105966,5147,720765,857,74532,5835,571393,1430,7.9,0.7,7.0,0.8,741894
6828065,3387385,2294,2463008,12455,81103,1012,6719354,1844,727976,21202,6671705,3550,1159043,29822,5393214,3898,6.9,0.3,12.5,0.4,6931071
2978204,1463576,3921,1144663,8300,70602,1247,2924307,1290,277547,12316,2887337,2988,550508,17473,2352507,3332,5.8,0.4,13.7,0.6,2988248
39144818,19440558,4443,12896357,19487,101885,512,38649621,4947,3317265,33518,38398057,6625,5891678,66827,31068647,10008,7.3,0.1,11.3,0.2,39250017
5456574,2741020,3494,2074735,7548,101461,1195,5367335,2710,432622,15117,5339618,2635,613549,20501,4333738,3353,5.2,0.3,7.6,0.3,5540545
3590886,1752063,1923,1343703,6712,122665,1578,3537983,1086,210522,13231,3480932,2053,366909,15789,2922877,2830,6.9,0.3,7.4,0.4,3576452
945934,458208,1047,352595,3920,93475,2358,931203,797,54498,5577,920355,878,114360,9567,765250,1688,5.8,0.5,8.7,1.0,952065
672228,319705,699,281787,3030,147329,10218,660682,666,24980,3934,638027,441,110500,8628,564206,1235,7.3,0.6,14.0,1.6,681170
20271272,9891238,6494,7463184,23147,82319,698,19960169,3766,2661549,40418,19850054,6121,3116886,47330,16640196,7825,7.0,0.2,11.3,0.3,20612439
10214860,4975458,7577,3656407,14418,82574,872,10024056,3586,1388400,25931,9943145,3984,1694988,33156,7998548,6350,7.1,0.2,13.0,0.4,10310371
1431603,724635,1325,445936,4817,104064,1942,1375062,2629,54531,4040,1394121,1528,147984,8530,1152884,1566,4.9,0.4,6.9,0.7,1428557
1654930,826819,2813,597421,4571,75766,1802,1632247,1674,180345,9768,1622116,2056,245551,13820,1270851,2653,5.4,0.5,10.9,0.8,1683140
12859995,6310435,4724,4794523,12954,97998,751,12679860,1448,900289,22221,12559422,3422,1703258,35831,10240058,5708,6.9,0.2,9.8,0.2,12801539
6619680,3253089,4727,2515143,11611,80050,885,6520267,860,627761,17105,6417418,3611,933181,24656,5215392,4548,5.8,0.3,10.2,0.4,6633053
3123899,1549289,3241,1247249,6782,84151,1067,3080411,489,154970,8343,3021823,2361,367414,13279,2475140,3231,4.2,0.3,7.7,0.4,3134693
2911641,1449224,3248,1111582,6565,88461,1644,2850159,1912,260508,11938,2830943,2019,368879,13898,2270108,3461,4.7,0.3,8.4,0.5,2907289
4425092,2174892,4384,1716168,8844,73919,952,4342711,1272,261468,10664,4290022,2851,794055,21101,3531385,3734,6.5,0.3,14.0,0.5,4436974
4670724,2286299,5065,1737908,9569,77771,1187,4567431,2000,545631,16685,4541688,2472,889946,24422,3676681,4816,7.1,0.4,14.7,0.6,4681666
1329328,651030,2161,545226,5325,80726,2317,1314849,684,110508,7062,1292996,1632,172620,9255,1103834,2110,5.4,0.5,8.9,0.7,1331479
6006401,2912348,3611,2177934,7798,116057,1045,5908522,2325,389199,10972,5863290,3873,570776,21279,4814546,3848,5.5,0.2,6.7,0.4,6016447
6794422,3297384,2458,2559951,9181,116983,1177,6718090,912,189273,9166,6558724,2955,752071,21473,5578648,4136,5.8,0.2,7.9,0.4,6811779
9922576,4877067,3442,3858532,11041,82711,667,9810800,1072,596642,13958,9698396,3148,1529645,27659,7982332,4984,7.2,0.2,11.1,0.3,9928300
5489594,2730030,3746,2147262,7978,99981,1034,5431894,516,245108,11415,5366594,2516,546431,16392,4349038,3497,4.2,0.2,6.3,0.3,5519952
2992333,1448495,4178,1104371,7926,64785,1062,2927568,1491,371585,12323,2896579,1923,637128,21554,2345713,3487,8.9,0.5,17.0,0.7,2988726
6083672,2983645,4339,2374180,11426,80946,960,5969392,1755,583108,15239,5901967,3392,875495,21660,4851761,4984,5.3,0.2,10.2,0.3,6093000
1032949,519026,2303,414804,3749,81031,2051,1017458,835,118509,6686,1007727,1004,147287,8916,829911,1805,4.5,0.4,9.3,0.9,1042520
1896190,942589,2373,744159,3947,88112,1666,1866488,1069,153789,8658,1842682,1204,231321,10619,1476487,2458,3.2,0.2,8.5,0.6,1907116
2890845,1447456,1981,1042065,7714,80300,1279,2855974,1248,350684,12115,2850472,2159,418243,18129,2292699,2626,7.9,0.4,10.9,0.6,2940058
1330608,657716,1634,517615,4643,105754,2528,1314249,866,83388,5554,1288060,1341,106046,8442,1102089,1780,4.2,0.3,5.0,0.6,1334795
8958013,4374892,2401,3187963,9239,118641,1038,8850415,1208,771196,21895,8781575,3097,946114,26304,7193921,4401,6.6,0.2,8.1,0.3,8944469
2085109,1035143,3070,761797,5816,74126,1767,2050178,1243,224031,9476,2044431,1676,417834,15720,1642487,3706,7.4,0.5,14.8,0.8,2081015
19795791,9616592,4379,7233694,15840,104644,965,19556452,1993,1380548,24866,19283776,5245,2970032,47607,16066508,7092,6.5,0.1,11.6,0.2,19745289
10042802,4896006,6889,3843745,15042,80098,765,9855612,3797,1102787,22884,9790073,3862,1607835,31818,8011388,6201,6.9,0.2,11.8,0.3,10146788
756928,388152,2318,313475,3584,98585,2783,740547,930,57451,5025,731354,783,80170,5329,603014,1809,2.6,0.4,6.9,0.9,757953
11613423,5683951,3926,4606655,12584,83011,661,11442029,985,746276,18672,11295340,4411,1674415,34580,9295255,5227,6.4,0.2,10.7,0.3,11614373
3911338,1939555,2785,1465951,6457,78169,928,3830329,1616,532509,11610,3795764,1895,610828,15093,3053371,2846,5.5,0.2,11.7,0.4,3923561
4028977,1992162,3716,1553205,7348,85527,1146,3991133,495,280263,12258,3952077,2585,607029,22484,3268296,3475,6.8,0.4,9.9,0.5,4093465
12802503,6262246,3925,4956037,11868,90802,705,12599417,801,801927,17402,12385716,4035,1629995,31848,10429005,5456,6.3,0.2,9.1,0.3,12784227
1056298,511773,1621,407484,4045,94929,2669,1041268,531,59410,5731,1016343,626,141035,9670,870136,1701,6.2,0.5,10.1,1.0,1056426
4896146,2385096,4581,1857768,9376,76253,1019,4801301,2216,523228,14187,4750144,3538,790715,22651,3931185,4079,7.3,0.3,12.1,0.5,4961119
858469,431540,2030,339437,2931,83560,2190,841363,603,85915,5350,829644,1156,114071,7467,671301,1892,4.0,0.5,8.3,0.8,865454
6600299,3214689,5166,2530260,10743,77498,1040,6496300,2363,667417,19481,6440381,3291,1077900,30450,5277935,4114,6.2,0.3,12.3,0.4,6651194
27469114,13625413,9367,9421412,21122,89670,672,26990435,4141,4615225,54614,26846203,6615,4255517,65900,21043248,10946,5.5,0.1,12.2,0.2,27862596
2995919,1506383,2521,930980,5092,88958,1426,2971003,686,311341,13589,2947861,2168,331854,15217,2180281,3049,4.0,0.3,8.3,0.5,3051217
626042,308552,1074,254865,3016,91719,2593,620107,172,23676,2318,600659,867,61314,5009,521616,1142,3.8,0.6,5.8,0.7,624594
8382993,4126326,5923,3106895,11857,105386,969,8162517,4887,746293,22527,8131328,3187,909346,25335,6721590,5245,5.5,0.2,7.8,0.3,8411808
7170351,3585221,4421,2728573,8477,99545,1204,7066812,2751,467967,12507,7036725,3798,857801,23751,5741873,4340,6.0,0.2,7.9,0.3,7288000
1844128,908559,2519,734536,5346,67341,1285,1815505,361,108082,6419,1793096,1902,321583,14177,1508224,2259,7.3,0.5,13.5,0.8,1831102
5771337,2868297,3334,2319538,7046,86652,794,5698995,715,322616,9613,5620223,2582,677964,19332,4627790,3538,4.3,0.2,7.9,0.3,5778709
586107,295102,2375,228937,3666,87755,2585,576557,733,66494,5552,572319,727,63425,7239,460730,2967,4.8,0.8,6.7,1.1,585501
3474182,1657467,3618,1221851,9077,34769,901,3447794,522,196706,9254,3443611,865,1586285,22921,2833603,2799,18.9,0.6,42.5,0.7,3411307
4863300,2356052,5269,1852518,12189,78413,1195,4782529,1623,434973,14219,4741329,2442,810231,23417,3897741,5319,6.4,0.3,12.7,0.5,4874747
741894,390573,2254,248468,2841,103554,2617,718419,1649,100628,6290,723968,1193,71566,6534,575088,1406,8.0,0.8,6.7,0.8,739795
6931071,3444228,2680,2519052,11479,85227,1130,6824645,1497,681238,21010,6771098,3965,1107464,27786,5483490,3781,6.5,0.2,11.9,0.4,7016270
2988248,1468782,4455,1142718,7341,73091,1098,2934272,895,231775,12289,2898630,2550,499225,17721,2358465,4617,5.1,0.3,12.4,0.6,3004279
39250017,19491231,4158,12944178,15703,108073,571,38763815,5125,2843903,40593,38513258,8112,5525524,66544,31191530,9769,6.5,0.1,10.5,0.2,39536653
5540545,2790701,3484,2108992,7767,104274,1291,5447760,2796,409743,14338,5420327,2295,598736,17942,4417829,3311,4.7,0.2,7.0,0.4,5607154
3576452,1745153,1844,1357269,7141,127843,2108,3525154,1010,172214,10800,3469514,1932,339128,14645,2919678,3102,6.4,0.3,6.8,0.5,3588184
952065,460232,1173,351085,3936,94643,2557,937935,681,53139,4523,926864,1051,108211,8223,771059,1606,5.7,0.7,8.1,0.9,961939
681170,323591,455,281241,3152,148208,8228,670985,594,26346,4201,647654,966,120308,9084,569932,1139,6.9,0.7,13.7,1.6,693972
20612439,10070860,6755,7573456,23478,84770,667,20294479,4316,2544247,47400,20191342,6143,2973512,48474,16950176,9323,6.0,0.1,10.5,0.2,20984400
10310371,5018150,8005,3686135,15528,87774,936,10120788,3683,1309573,29878,10040201,4550,1603013,34382,8085411,7721,6.0,0.2,12.0,0.4,10429379
1428557,718057,1805,455868,4824,108116,1970,1378730,2525,48673,5098,1389442,1866,129569,10361,1152321,1857,4.4,0.4,6.0,0.7,1427538
1683140,841203,2599,610872,4143,79746,2237,1662867,795,168110,8431,1652592,1607,237445,15728,1296599,2599,4.7,0.5,10.0,0.9,1716943
12801539,6289724,4413,4822046,12932,100978,844,12620388,1326,816602,19833,12502057,3937,1621508,35297,10222986,6129,6.3,0.1,9.5,0.3,12802023
6633053,3267337,5176,2533270,10440,82886,900,6534914,919,530363,16938,6432804,3045,906077,22930,5239497,4973,5.0,0.2,9.6,0.4,6666818
3134693,1556668,2984,1247932,7106,88997,1297,3091437,506,131612,7626,3031338,2083,356378,12582,2489194,2704,3.9,0.2,7.6,0.4,3145711
2907289,1448853,4227,1110407,6778,89261,1119,2850862,1447,248974,8897,2825864,1863,342544,14393,2273338,3474,4.5,0.3,7.9,0.5,2913123
4436974,2179814,4640,1717706,9131,77077,1037,4354380,1440,223350,9568,4298953,3416,794060,24195,3542057,4236,6.0,0.3,14.0,0.6,4454189
4681666,2291880,4966,1720801,8997,78660,1278,4577182,1950,469832,17233,4546017,4194,918187,25851,3690800,4784,7.0,0.3,15.4,0.6,4684333
1331479,650702,1923,531660,5774,83973,1847,1317148,565,105973,6588,1295971,1363,161749,10063,1108711,1960,4.4,0.4,7.6,0.8,1335907
6016447,2917773,2890,2194657,9484,119462,1177,5918535,2341,363179,15850,5875026,3123,567715,17097,4819956,4066,5.4,0.2,6.3,0.3,6052177
6811779,3305817,2430,2579398,8290,122310,1247,6736017,1301,171059,10434,6574249,2698,686597,20435,5601991,3487,5.3,0.2,7.3,0.3,6859819
9928300,4883220,3044,3884153,13696,87436,686,9818099,823,526990,13966,9702321,3906,1451936,23392,8002285,5668,6.2,0.2,10.2,0.2,9962311
5519952,2747946,3202,2148725,7378,104507,1185,5462438,681,224946,9838,5396363,2285,533276,15913,4375523,4084,3.8,0.2,5.9,0.2,5576606
2988726,1440934,5584,1091245,8803,69954,1289,2924168,1457,346181,12277,2892894,2014,602768,21320,2349401,4775,7.7,0.5,16.5,0.8,2984100
6093000,2994651,4432,2372190,10844,84680,1061,5977199,1793,531923,14293,5911040,3431,826954,22623,4865244,5197,4.9,0.2,9.8,0.4,6113532
1042520,526023,2537,416125,4426,85935,2533,1027510,634,83416,5613,1018105,1144,135638,7800,838974,2147,4.8,0.4,8.0,0.8,1050493
1907116,950124,2703,747562,4452,91006,1570,1877654,1048,160563,9069,1851069,1911,211453,10293,1484034,2270,3.7,0.3,7.4,0.6,1920076
2940058,1473153,2014,1055158,6433,84294,1562,2905767,1083,330418,13329,2896888,3250,399420,18626,2339612,2981,6.7,0.4,10.2,0.7,2998039
1334795,664722,1972,520643,5191,107498,2150,1316467,851,77677,5824,1292255,1106,94289,7685,1108050,2042,3.6,0.4,4.0,0.6,1342795
8944469,4370211,2131,3194519,10274,123820,1070,8837578,1301,704970,18842,8769487,3021,915913,28791,7197473,4317,6.0,0.2,7.6,0.3,9005644
2081015,1030224,3062,758364,6296,75682,1910,2046001,1490,187689,10467,2039449,1699,404463,15353,1650960,2922,7.5,0.5,15.3,0.8,2088070
19745289,9582050,4460,7209054,17665,109325,848,19505596,2238,1182694,26368,19230198,5205,2832824,38578,16048423,7037,5.9,0.1,10.9,0.2,19849399
10146788,4933381,6593,3882423,16063,83110,935,9957830,4137,1038399,21012,9886033,3818,1521880,32197,8115833,6864,6.2,0.2,11.2,0.3,10273419
757953,390181,2294,315134,3356,96337,2834,741486,1317,52138,4753,731759,1407,78464,6184,600126,1658,2.8,0.5,6.4,1.0,755393
11614373,5691600,5306,4624669,14929,85971,764,11439848,1446,643728,17556,11287401,5000,1645382,32693,9318105,5116,5.7,0.2,10.5,0.3,11658609
3923561,1943273,2726,1469342,7193,79317,1036,3845697,1477,529658,12674,3809431,1956,620377,15205,3063649,2579,6.0,0.3,11.5,0.4,3930864
4093465,2026038,3925,1571678,6691,91056,1204,4054353,734,252766,10000,4016520,2426,536146,18071,3327652,3040,5.7,0.3,8.5,0.5,4142776
12784227,6262870,4620,4937771,13721,93966,647,12579422,1164,708477,20901,12368256,3787,1592045,30765,10427404,5796,5.8,0.2,8.6,0.2,12805537
1056426,511358,1550,408239,4139,98328,2922,1040259,649,44966,4753,1015892,798,129932,9143,874310,1685,5.9,0.5,9.2,1.0,1059639
4961119,2405343,4669,1877887,10574,80819,1262,4861188,2481,485906,13757,4820419,2587,735960,23271,3986784,4017,6.3,0.3,10.8,0.5,5024369
865454,435668,1995,334003,3659,85597,2725,848774,457,74218,4469,837292,989,110962,6706,673517,1970,3.9,0.4,8.2,0.7,869666
6651194,3247058,5229,2556332,11690,80669,948,6546914,2577,592310,15675,6489032,3408,1023177,25829,5320715,5487,5.5,0.2,11.6,0.4,6715984
27862596,13830953,9002,9535612,20125,91361,535,27386023,4419,4545380,55376,27236443,6495,4261337,60018,21368307,10314,5.6,0.1,12.0,0.2,28304596
3051217,1538145,2539,943147,4975,92548,1414,3024767,1289,264807,11807,3004148,2144,306902,15189,2228666,3273,4.1,0.3,7.2,0.5,3101833
