Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Population
0.49252343712974556,0.2405041521420451,0.0003365102962571137,0.17659285501683214,0.0007958397512747352,0.003673722863568846,2.8549622783718358e-05,0.48274907062675354,0.00015512130745185516,0.09510959468200268,0.001768504608494099,0.47905080421535645,0.0002473117412365798,0.08564542008410482,0.001873981012384213,0.3802122636871713,0.0003233257457708495,6.389436004881906e-07,1.5212942868766443e-08,6.947243910070009e-07,2.0283923825021926e-08,0.17659285501683214,0.0007958397512747352,0.1168437683507041,0.0008657685786614983,5.6085049376185624e-05,4.056784765004385e-07,4.1531334031732395e-05,3.549686669378837e-07,0.007389179900407675,0.0003745933632385924,2.9411689546281793e-06,1.5212942868766443e-07,2.0081084586771705e-06,1.1663256199387607e-07,2.094315134933514e-06,5.0709809562554815e-09,1.845837068076995e-06,5.0709809562554815e-09,9815210
0.49733348733997246,0.24949701812596004,0.0005773443724166586,0.16259447211359154,0.0015401928519997153,0.03285063948977465,0.0006550287383830189,0.4798475754062111,0.0008421277043019992,0.03784432183161223,0.002251387751691746,0.48374857060985516,0.0005507201530948544,0.051857049647544284,0.0035111145124795784,0.3988691005506106,0.0006615936143801761,2.954194198720742e-06,2.1882919990524014e-07,2.698893465497962e-06,2.9177226654032024e-07,0.16259447211359154,0.0015401928519997153,0.09429094923183576,0.00197748653647702,0.0005901094090777976,1.750633599241921e-05,0.0004708474951294417,1.1670890661612808e-05,0.007272059028184306,0.0008767756609536622,2.2977065990050217e-05,2.917722665403202e-06,1.1962662928153127e-05,1.8600481991945412e-06,1.4515670260380928e-05,1.4588613327016012e-07,1.3275638127584569e-05,1.4588613327016012e-07,1374810
0.4908137360543991,0.24596313088246882,0.0008261174914021354,0.18012453396938907,0.0017924719407020244,0.02022629210801924,0.0003876037076862193,0.4846248823333657,0.00029796449406337887,0.0860174145943719,0.0033488210747877867,0.4815718394303578,0.00039822298734885545,0.07566923889488776,0.003369434970603492,0.3709323756111449,0.0006533980310069063,3.12331754783416e-06,1.873990528700496e-07,3.623048355487626e-06,2.186322283483912e-07,0.18012453396938907,0.0017924719407020244,0.1254111941616946,0.001968314718645088,0.00028828220966509296,5.9343033408849046e-06,0.00021332258851707313,4.060312812184409e-06,0.007336360588107659,0.0007433495763845301,1.967690055135521e-05,1.8739905287004962e-06,7.964459746977108e-06,1.56165877391708e-06,1.264943606872835e-05,9.36995264350248e-08,1.074421236454951e-05,1.2493270191336643e-07,1584985
0.490406438527956,0.24034813226655144,0.00020172730109874713,0.18148419744809538,0.0005185036951769614,0.0032263385536697975,2.611801513373898e-05,0.48391813553155244,9.286405380884971e-05,0.06665271641051006,0.0010119585337344304,0.4789622803441581,0.00012184588639146357,0.06612405570944775,0.001218649785077894,0.3850876044497168,0.00024258443003602887,4.35300252228983e-07,7.636846530333036e-09,3.856607497818183e-07,7.636846530333036e-09,0.18148419744809538,0.0005185036951769614,0.12292795117634646,0.000621982965662974,4.788302774518813e-05,3.4365809386498656e-07,3.238022928861207e-05,1.9092116325832589e-07,0.006847502072957813,0.0002582399654232116,2.13831702849325e-06,7.636846530333035e-08,1.3669955289296132e-06,7.636846530333035e-08,1.5426429991272731e-06,3.818423265166518e-09,1.3440849893386144e-06,3.818423265166518e-09,12869259
0.4898067876009549,0.24126705842197774,0.00028713967844088166,0.1864638284252212,0.0008440623661921842,0.005163910921427356,4.4372701950916794e-05,0.482324478466371,7.16905898866853e-05,0.07153362522672287,0.001494409212132662,0.47500049233976843,0.00027234877779057603,0.07265463966121415,0.0018868208620387288,0.38266565379797673,0.00036592386353740737,8.150088113433697e-07,2.2639133648426933e-08,8.301015671089876e-07,3.018551153123591e-08,0.1864638284252212,0.0008440623661921842,0.13106179334346377,0.0009015657656591886,6.542709624395384e-05,5.282464517966285e-07,5.154176093958532e-05,4.527826729685387e-07,0.006208631475523431,0.0003567172825203804,3.924116499060669e-06,2.2639133648426936e-07,2.822345328170558e-06,2.112985807186514e-07,3.078922176186063e-06,1.5092755765617956e-08,2.656325014748761e-06,7.546377882808978e-09,6516922
0.4877043409585762,0.24080390141469682,0.0006230062308536468,0.19563914786174405,0.00105699979105303,0.011691601017103063,0.0001469565518877057,0.480508746919574,9.130815139051137e-05,0.04474435227448403,0.0015597543058897512,0.47177226785990817,0.0003505209594535918,0.05924747679027005,0.002226575656675097,0.3852337280832756,0.0004976374205381285,1.0713916187678217e-06,4.797275904930545e-08,1.3112554140143488e-06,6.396367873240727e-08,0.19563914786174405,0.00105699979105303,0.1415650534073511,0.0013198905106432239,0.00013096563220460388,1.9189103619722182e-06,0.00010058288480671042,1.4391827714791636e-06,0.006618161929245349,0.0004347931061835384,9.274733416199054e-06,6.396367873240727e-07,4.877230503346054e-06,5.916640282747673e-07,6.540286150388643e-06,3.198183936620364e-08,5.612812808768738e-06,3.198183936620364e-08,3062309
0.49077083607871597,0.2432483137637457,0.000633896316600627,0.18909746773723626,0.0011932973715157212,0.012906218262984333,0.00019276078081302574,0.4813803135526972,0.00031720563040291323,0.06684765364604597,0.0020824343658269176,0.47638432487385135,0.00037196136422246374,0.06480229526299341,0.002645783326315208,0.379895967832315,0.0006357844453530252,1.3560197403587742e-06,6.865922735993794e-08,1.6306566497985258e-06,1.029888410399069e-07,0.18909746773723626,0.0011932973715157212,0.12872008802952245,0.0015012340062250428,0.00015139359632866314,2.5747210259976723e-06,0.00011706398264869417,1.3731845471987586e-06,0.006882229302491778,0.0005116828918999374,1.0127236035590844e-05,6.865922735993793e-07,5.47557338195505e-06,6.694274667593948e-07,7.071900418073608e-06,3.432961367996897e-08,6.093506428194492e-06,5.149442051995345e-08,2871238
0.48856210102669345,0.24061200058002205,0.0004537976280892061,0.18933691535219177,0.0011017266665598981,0.007225802658212103,9.75715484719918e-05,0.47692186025783206,0.0004893190673946777,0.07273363167611296,0.0017806807596138503,0.4738788194874573,0.0003356551195130962,0.08995309901791257,0.0023495858365916735,0.3864150314613791,0.0005225923143390436,1.258987722219249e-06,4.496384722211604e-08,1.6299394618017063e-06,5.6204809027645046e-08,0.18933691535219177,0.0011017266665598981,0.1299783420803875,0.0013529621629134716,8.329552697896996e-05,1.1240961805529008e-06,6.890709586789283e-05,7.868673263870306e-07,0.006445230270436168,0.0004061359500337631,6.070119374985665e-06,3.3722885416587026e-07,4.046746249990443e-06,3.821927013879863e-07,4.620035302072423e-06,2.248192361105802e-08,4.035505288184914e-06,2.248192361105802e-08,4369356
0.4907444596314342,0.2405017490367206,0.00044827861892714964,0.18248881531985398,0.0010383519443470353,0.007461446961916315,0.00011058475205526409,0.4795224831421073,0.00019762704713001297,0.08542099733782928,0.0019845859262886604,0.47666887817305625,0.00037246758773301354,0.08910971157215707,0.0022787586456231713,0.38342217374764426,0.0004234402468834868,1.0907285114825851e-06,4.319716877158754e-08,1.5658973679700482e-06,5.399646096448442e-08,0.18248881531985398,0.0010383519443470353,0.12327435235360565,0.0012418106092612128,7.613500995992303e-05,1.5119009070055636e-06,7.948279053972107e-05,1.0799292192896883e-06,0.007325375880285814,0.0005040029666424975,6.47957531573813e-06,4.3197168771587535e-07,5.2376567135549885e-06,3.347780579798034e-07,4.64369564294566e-06,2.159858438579377e-08,3.9525409426002596e-06,2.159858438579377e-08,4574836
0.48258773910797065,0.23587952656403177,0.0005358180245856885,0.1982661190742554,0.0020269479681748978,0.025617845079122948,0.0005052829404166262,0.4773058965725364,0.00036024129061358026,0.04837084493995566,0.0022832245674509564,0.47002655061437604,0.0004165857911636357,0.0607946255547895,0.0027997764079775935,0.39572196787931035,0.0006808596743887344,3.0171571262287753e-06,1.8175645338727562e-07,3.198913579616051e-06,2.1810774406473072e-07,0.1982661190742554,0.0020269479681748978,0.14409469868089822,0.00198078182901453,0.0003449737485290491,6.543232321941922e-06,0.00025700362508960774,5.81620650839282e-06,0.0051778778440967075,0.0006946731648461674,1.6721593711629357e-05,2.1810774406473073e-06,1.4031598201497679e-05,2.5082390567444037e-06,1.483132659640169e-05,1.0905387203236536e-07,1.2686600446431837e-05,1.0905387203236536e-07,1328188
