Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
4785298,2322243,4446,1815152,10938,65730,880,4702769,1669,686592,17082,4666970,2567,888290,22673,4802740
713985,372436,1772,254610,2804,93329,2957,689249,1872,136840,7333,696822,1573,69279,6120,722718
6413737,3190700,2757,2334050,12895,71580,930,6310174,2001,1065132,21655,6272686,3673,1094249,33633,6482505
2921606,1430837,4306,1114902,8104,61359,1099,2867611,1672,500613,15221,2839798,2045,534898,16599,2937979
37349363,18570505,5032,12406475,16820,88178,521,36815569,4634,6824913,55568,36593372,8519,5783043,74336,37691912
5049071,2531362,3639,1960585,9151,86004,1116,4956873,2211,789109,22458,4934178,2454,659786,23009,5116796
3577073,1738918,1627,1358809,7109,108218,1616,3519913,989,320133,11328,3466977,2302,350145,15842,3580709
899769,436608,1451,328765,4178,84491,2420,885232,820,85801,7028,874321,1107,103427,8098,907135
604453,285729,795,252388,3730,121027,5305,594282,401,45164,3871,570953,564,109423,7577,617996
18843326,9212548,5887,7035068,25739,72079,660,18534081,4456,3941060,49984,18436788,6230,3047343,41603,19057542
9712587,4742754,6636,3482420,15694,72446,563,9519836,3059,1875566,34875,9446906,4877,1688932,36955,9815210
1363621,684087,1583,445812,4223,90072,1796,1315677,2309,103764,6173,1326373,1510,142185,9627,1374810
1571450,787506,2645,576709,5739,64759,1241,1551635,954,275404,10722,1541860,1275,242272,10788,1584985
12843166,6294434,5283,4752857,13579,84494,684,12673245,2432,1745556,26502,12543457,3191,1731711,31915,12869259
6490621,3197124,3805,2470905,11185,68429,588,6391470,950,947920,19803,6294417,3609,962775,25003,6516922
3049883,1505879,3896,1223439,6610,73114,919,3004885,571,279811,9754,2950251,2192,370507,13924,3062309
2859169,1417134,3693,1101658,6952,75190,1123,2804461,1848,389446,12132,2775355,2167,377530,15414,2871238
4346266,2140493,4037,1684348,9801,64281,868,4242714,4353,647041,15841,4215643,2986,800226,20902,4369356
4544228,2227014,4151,1689822,9615,69092,1024,4440314,1830,790987,18377,4413890,3449,825144,21101,4574836
1327567,648889,1474,545417,5576,70473,1390,1313037,991,133065,6281,1293012,1146,167242,7702,1328188
5785982,2799597,3400,2127439,8728,104164,1218,5687998,2852,640861,16506,5643821,3530,557140,21050,5828289
6557254,3170167,2392,2520419,10488,100712,1111,6478067,1529,285717,13613,6333611,2630,725143,21471,6587536
9877574,4848760,3767,3806621,12287,70883,460,9763683,1209,1207384,20391,9656449,3934,1618257,30260,9876187
5310584,2635397,3097,2091548,8178,84946,934,5252092,680,476259,13399,5189200,2281,599516,15022,5344861
2970036,1441525,4150,1079999,8323,58584,899,2902907,1467,528095,15479,2875594,2515,643883,22452,2978512
5996231,2932383,4144,2350628,10288,71266,830,5879864,2130,773894,16408,5817852,2620,888570,21761,6010688
990898,499235,2028,402747,4175,67131,1749,975562,1190,168981,7243,964509,2420,140969,9640,998199
1830429,906540,2253,719304,4689,74215,1303,1802049,954,207653,6981,1776166,2053,229923,11823,1842641
2704642,1365498,2352,989811,6963,74278,1376,2668966,1868,603700,15698,2666662,1598,398027,20092,2723322
1316759,647349,1875,515431,4523,89864,1732,1302639,468,145013,8709,1276614,1142,105786,8064,1318194
8801624,4284049,2455,3172421,11815,106125,959,8693541,1177,1151158,20359,8626524,2857,884789,24939,8821155
2065932,1020996,2983,765183,5603,66508,1259,2032699,1222,398558,13759,2024716,1715,413851,19768,2082224
19392283,9387534,4174,7196427,16507,91447,742,19134281,2566,2277382,35303,18879810,5820,2821470,46759,19465197
9561558,4657156,7691,3670859,14413,69114,665,9360661,4149,1569837,28195,9304553,3703,1627602,29606,9656401
674499,343445,1580,280412,3191,75754,1831,660611,725,64535,4630,651415,600,84895,5668,683932
11536182,5630118,4606,4525066,15956,70653,445,11358640,5507,1398943,26821,11224969,4110,1779032,32237,11544951
3761702,1856245,4017,1432959,7544,65945,798,3677206,1908,693551,12664,3646849,2289,616610,15751,3791508
3838957,1902185,3522,1507137,8164,71966,941,3799107,882,651504,16257,3765919,2565,596408,17283,3871859
12709630,6192105,4822,4936030,14212,79150,575,12506000,1361,1271180,24993,12298955,4096,1648184,29243,12742886
1052886,508198,1277,402295,4265,85213,2380,1036743,1079,126184,7290,1012200,827,142188,9018,1051302
4636312,2253035,4319,1761393,10691,66125,862,4536835,2329,795275,19414,4493865,3196,815755,22461,4679230
816463,411170,2367,318955,3470,72270,2066,798141,664,98886,6890,788226,1027,113760,7599,824082
6356897,3095030,5512,2440663,12796,67011,836,6259546,1957,898561,22130,6195120,3574,1095466,29085,6403353
25257114,12531720,7396,8738664,20291,75506,511,24779450,4528,5875474,56139,24652927,7949,4414481,53320,25674681
2776469,1397849,2069,880025,4985,75582,1068,2750354,1102,421924,16477,2730176,1935,359242,14693,2817222
625960,308172,1012,256922,2727,77453,2123,619886,304,49880,4145,600850,1125,76352,5250,626431
8024617,3941957,5811,2992732,14604,94262,887,7807416,5241,1020130,21458,7780635,2803,861969,22046,8096604
6744496,3358423,3276,2606863,9745,83679,970,6638081,3035,945589,23457,6615922,2965,888718,27270,6830038
1853973,913160,2808,741940,5724,60523,1202,1823372,786,266161,10271,1799960,1852,326507,13020,1855364
5691047,2826199,3414,2279532,9375,74705,668,5613402,872,529200,13567,5535803,3152,731479,17834,5711767
564460,287053,2431,222803,3575,79216,3858,555010,816,82836,5993,551120,851,61577,6480,568158
3722133,1785266,2651,1319448,9440,32220,655,3695636,871,296939,10199,3685731,1892,1659792,21557,3706690
4802740,2324413,5329,1844546,11416,67424,947,4720067,2155,673964,18951,4687363,2037,892483,23804,4822023
722718,372916,1425,257330,3380,92339,2831,699272,1868,140660,5748,706860,918,73905,5839,731449
6482505,3228514,4431,2356055,12130,72602,940,6378280,1787,1095010,27071,6336449,3861,1203501,38097,6553255
2937979,1447850,3826,1127621,7837,62656,1213,2885212,1095,492310,14878,2856663,2079,555876,17602,2949131
37691912,18750692,4823,12468743,22250,89976,512,37161789,5236,6725604,55430,36941931,7933,6118803,71852,38041430
5116796,2569136,4217,1975388,9057,88859,1097,5024885,2530,759619,19088,5002128,3154,674195,21621,5187582
3580709,1743795,1891,1351643,7309,110730,1516,3522709,1144,308945,10798,3471802,1406,377856,17034,3590347
907135,439918,939,333192,3426,87135,2494,892132,847,83995,6094,882353,1386,104831,8149,917092
617996,292283,485,268670,3200,123998,6694,608165,325,42007,4759,584583,305,109363,8006,632323
19057542,9321149,7263,7106283,31131,73821,736,18752294,3756,3911381,46513,18652057,5175,3173456,53070,19317568
9815210,4808996,7576,3494542,15336,73315,920,9619740,3609,1882758,36920,9550271,4699,1827743,40709,9919945
1374810,688600,1358,448563,5562,89653,2042,1326065,2252,94399,6265,1338543,1297,161290,12291,1392313
1584985,794914,2358,580193,6204,65418,1719,1565645,611,259094,11422,1550082,2866,255027,13229,1595728
12869259,6309308,4694,4737208,12865,85709,747,12688006,1765,1659275,29383,12566914,3774,1879965,34757,12875255
6516922,3206430,4000,2467111,11107,70821,815,6417644,1247,930829,21794,6318942,3376,1011017,27152,6537334
3062309,1512251,2950,1216765,7072,76038,1045,3017465,552,269490,9670,2963602,1740,378864,12247,3074186
2871238,1423188,2574,1101701,5567,77467,1134,2813530,1400,354630,12779,2786855,2238,383467,13367,2885905
4369356,2143745,4175,1672134,9367,66779,1049,4284357,1582,618458,14729,4238283,2995,811277,24336,4380415
4574836,2236117,4028,1702030,9725,69722,1048,4473068,1771,784015,17351,4445400,3107,908375,21304,4601893
1328188,651076,1884,552051,5238,72893,1755,1314121,520,140165,6842,1291650,1998,182448,8462,1329192
5828289,2820212,3160,2134517,9936,105683,1178,5736588,2191,598444,19787,5685412,3670,571887,19719,5884563
6587536,3187794,2018,2532067,9349,103250,1378,6507596,1342,276940,14137,6367148,1879,738514,23459,6646144
9876187,4848677,3272,3772433,14208,73707,508,9762306,764,1149911,21410,9656260,2885,1693294,28336,9883360
5344861,2656471,3274,2096477,7824,87875,801,5286728,677,467433,12099,5222556,2179,621970,17360,5379139
2978512,1446634,4222,1080991,8431,60294,1100,2911811,1630,516413,15343,2884215,2100,650524,20706,2984926
6010688,2945756,4369,2341074,10807,73106,949,5898968,1584,807414,19295,5831530,3022,920118,22609,6021988
998199,500311,1724,404250,4567,67968,1699,983214,886,179575,6919,974025,1203,144054,8962,1005141
1842641,912496,2903,723800,4514,78949,1832,1814388,1030,207094,7849,1789275,1651,234710,10211,1855525
2723322,1372750,2376,982352,9598,73824,1806,2686989,2047,588794,20346,2684536,3072,426741,20552,2758931
1318194,651060,1847,516454,4150,92679,2182,1303868,471,136922,5971,1279118,1056,112715,8386,1320718
8821155,4298542,2384,3167629,9918,107202,939,8712982,1438,1139104,22722,8646606,2810,897376,24537,8864590
2082224,1036558,2872,767285,6715,68653,1924,2047242,1765,406184,13699,2042530,1334,439914,17336,2085538
19465197,9438007,3858,7187938,18167,92816,789,19208419,2296,2195349,32685,18954044,4586,3027342,42152,19570261
9656401,4687843,7014,3683364,19202,71787,748,9461018,4189,1544907,30348,9406091,3155,1680963,36728,9752073
683932,343944,1591,283440,2528,80808,2320,669425,795,65448,4530,660473,614,80882,5567,699628
11544951,5641528,4404,4538555,15280,73455,597,11369102,1441,1354431,24533,11234071,3988,1845800,35067,11544225
3791508,1877843,3361,1442731,7338,69167,853,3710368,1361,693545,15014,3678924,1966,633298,18126,3814820
3871859,1914116,3146,1516979,8379,73674,1087,3832640,865,602377,15251,3794213,3419,662283,20527,3899353
12742886,6216838,4073,4937333,13801,81003,541,12539757,1068,1264548,23247,12328566,3511,1695996,36138,12763536
1051302,508396,1139,412259,3948,86521,2483,1035117,804,111834,7182,1009941,1191,148819,8909,1050292
4679230,2274282,4993,1768834,12783,67326,994,4579231,2414,766304,19103,4538298,2536,856938,22008,4723723
824082,410505,2116,323215,3255,73401,1889,805505,1055,95908,5030,794872,1326,110681,6608,833354
6403353,3118951,5288,2467428,12592,68946,830,6302351,2349,922650,18803,6246380,2905,1142299,29429,6456243
25674681,12741162,7835,8850370,21114,78360,569,25197453,4761,5789846,58601,25071125,8108,4628758,63020,26059203
2817222,1417639,2703,884253,5722,77561,1246,2789648,1314,426064,14912,2771344,2149,374859,19403,2855287
626431,308393,1059,257358,2656,80872,2272,620159,306,41209,3238,601236,821,69075,4730,626011
8096604,3978779,6842,2990650,13887,97107,881,7887164,4700,982861,20253,7854282,3214,905914,25152,8185867
6830038,3408061,4042,2632621,9876,86290,914,6716822,3208,952630,19050,6687073,3909,929258,23388,6897012
1855364,914474,3200,735408,6147,64488,1847,1826485,271,272287,10237,1802655,2209,334885,13958,1855413
5711767,2835132,3485,2275352,8388,77531,742,5634063,895,506674,13395,5554349,4117,725797,20946,5726398
568158,289416,1930,222539,3310,79554,2909,558832,750,85831,6032,554314,926,62629,5598,576412
3706690,1770224,2797,1256151,8804,32063,705,3680339,638,280641,12928,3672090,1830,1673610,27123,3667084
4822023,2336291,3772,1845169,11483,68525,778,4741698,1677,632499,16621,4706978,2160,892564,20244,4833722
731449,381094,1702,251651,2883,95924,2726,708946,1546,145288,7233,715608,613,72400,5190,735132
6553255,3260687,2638,2392168,11611,74275,834,6443654,1631,1130959,26823,6401273,3092,1194506,25758,6626624
2949131,1449265,3205,1143859,7351,64235,1074,2896297,1039,476310,10579,2865098,2160,568065,16759,2959373
38041430,18917773,4374,12552658,18433,91046,430,37524274,5678,6709586,51970,37303266,7131,6325319,64334,38332521
5187582,2601370,3232,1996088,8553,90152,1046,5094766,2656,751244,19632,5069071,2557,694842,20406,5268367
3590347,1749806,1927,1357812,6453,114025,2169,3534619,1149,321972,11233,3484178,1411,372390,14270,3596080
917092,444691,881,340308,3122,86132,1979,902915,849,79894,5924,890738,1221,107307,7877,925749
632323,299036,318,266662,3138,129347,6674,621380,727,36854,3393,598151,630,108732,7746,646449
19317568,9441001,6373,7197943,25102,75292,582,19011070,3625,3815840,36143,18912479,5600,3238581,49032,19552860
9919945,4851053,6551,3532908,15691,75450,679,9719411,3607,1792319,29647,9652596,3256,1848533,37552,9992167
1392313,701196,1123,447748,4282,92346,1682,1341708,2427,92338,5916,1356822,1094,157243,9661,1404054
1595728,798712,2934,583106,5317,67369,1625,1575682,687,254743,9166,1565511,1631,248494,13813,1612136
12875255,6316653,4276,4770194,13140,88826,686,12698371,1130,1622465,21898,12573676,4182,1850562,32138,12882135
6537334,3217145,3678,2480077,10833,72072,633,6437142,986,919866,19760,6342423,3178,990325,21187,6570902
3074186,1524107,3514,1227048,6132,77465,867,3028864,500,254275,9879,2974225,2122,377484,13405,3090416
2885905,1434617,2912,1113911,5555,79648,1230,2825416,2092,355564,9981,2802207,2002,391734,12565,2893957
4380415,2154939,3541,1707004,8109,67293,771,4292718,1736,595460,14279,4247103,3119,823197,22937,4395295
4601893,2248888,4274,1719473,9205,71928,1022,4498884,1484,759627,16436,4471142,2830,891981,23215,4625470
1329192,650714,1896,554543,4451,73506,1407,1315703,427,134709,6886,1293457,1275,189786,9666,1328302
5884563,2849291,2636,2157717,7667,108034,959,5788196,2269,597554,15822,5744445,2780,590803,19639,5928814
6646144,3219753,2324,2522394,9088,107088,1171,6566851,897,254295,11033,6414762,2601,762645,18273,6692824
9883360,4851429,3886,3819068,10789,75349,529,9772550,789,1114321,15031,9663760,3870,1685178,30444,9895622
5379139,2670741,3022,2111943,6274,91409,909,5319783,751,424662,11361,5257443,1790,598371,17622,5420380
2984926,1442072,3816,1090521,7826,61606,1211,2918405,1292,497510,10565,2890890,1973,698252,22688,2991207
6021988,2953591,4454,2359135,11280,73351,818,5908769,1421,801380,18914,5838008,3872,947792,20935,6044171
1005141,503458,1842,408938,3977,73329,2007,989823,845,178412,5944,980594,1227,152199,8004,1015165
1855525,923099,1803,733570,4667,77606,1039,1826832,904,205607,8316,1800904,1635,233973,10768,1868516
2758931,1391864,1827,1006605,7913,74437,1495,2723965,1559,603425,16624,2718565,3392,446840,19216,2790136
1320718,648288,1796,519137,4650,94164,1843,1306026,548,138842,7993,1280027,1345,128466,10865,1323459
8864590,4321436,2448,3198799,8893,109594,1057,8756542,1146,1112809,27126,8691673,2911,934943,22315,8899339
2085538,1034877,2603,764996,5964,67081,1309,2051805,1427,377986,9943,2044778,1740,426245,13843,2085287
19570261,9485872,4452,7238922,16375,94367,727,19316728,2028,2102909,29752,19064064,4156,3025016,36603,19651127
9752073,4751047,5464,3731325,14347,72572,693,9552529,3461,1582240,26207,9498993,3156,1713132,31019,9848060
699628,357591,1433,290944,2708,88627,2503,684776,917,68524,4779,674852,714,75703,4270,723393
11544225,5642634,4379,4554672,11606,75603,681,11371766,1352,1304247,21906,11227482,4488,1824628,28992,11570808
3814820,1889807,2673,1446667,5298,70924,1147,3733058,1692,685076,11567,3699653,1970,637429,14041,3850568
3899353,1932789,3361,1516957,7216,75817,1061,3860452,927,576009,16819,3826398,2672,658359,22218,3930065
12763536,6229333,3651,4958249,11531,83372,548,12559315,1121,1224649,20104,12353867,3236,1693285,30788,12773801
1050292,506835,1355,413083,3010,88306,2360,1034895,650,114865,6125,1010449,885,138907,8499,1051511
4723723,2295781,4676,1787340,9096,68699,871,4623171,2221,778181,18715,4585454,2040,837770,22603,4774839
833354,417803,1674,323765,3111,75013,2042,816425,682,94133,5097,804310,815,107846,5355,844877
6456243,3144756,4329,2480090,11146,70434,806,6354629,2073,882120,20014,6295994,3016,1129330,27122,6495978
26059203,12945218,7615,8970959,21541,80319,489,25584499,3960,5762358,53910,25450518,6257,4562352,58642,26448193
2855287,1435028,2086,895691,5044,79892,1302,2829001,909,409171,14030,2806020,2814,360017,18926,2900872
626011,309184,980,258520,2853,82408,2045,619928,318,40053,3029,601611,741,71084,4549,626630
8185867,4015045,6243,3038967,13344,97987,690,7973466,4199,999735,20819,7936903,2853,931805,22863,8260405
6897012,3441429,2785,2636817,10074,88769,829,6793078,2904,944771,20524,6761934,3299,915278,30419,6971406
1855413,911681,2937,741544,5473,64479,1347,1826512,259,263809,8531,1801131,2144,320055,13000,1854304
5726398,2842737,3446,2288362,8293,79660,743,5652085,607,505998,13496,5573134,3298,737356,16981,5742713
576412,292736,1854,223513,2812,80488,2561,567082,836,87084,5765,561445,1473,71019,6087,582658
3667084,1757273,2739,1263694,9111,32805,674,3641762,450,263111,11071,3633892,1704,1632533,27010,3615086
4833722,2341869,4937,1822439,11200,70447,900,4755381,1814,645435,16823,4716105,2548,883371,20758,4849377
735132,386404,1948,246015,2720,101544,3206,712248,1963,131986,7152,718359,1166,67016,4778,736732
6626624,3298086,2142,2400809,11557,76117,1010,6521226,1734,1118186,24489,6477191,3417,1206460,32132,6731484
2959373,1461544,4406,1125899,6925,65578,1061,2907014,1233,464950,13520,2873340,3117,565469,16418,2966369
38332521,19072246,4878,12650592,16944,95232,490,37831553,5167,6500179,57140,37593091,8648,6328824,64631,38802500
5268367,2645976,3935,2002800,8550,93036,1023,5173272,2685,729188,17591,5151461,2077,667446,21463,5355866
3596080,1751883,2326,1339860,7005,118345,2037,3541409,1156,332503,14330,3485353,2242,373900,14722,3596677
925749,447789,1076,339071,3144,89016,2278,911502,1114,83284,5969,900322,1123,111327,9589,935614
646449,306147,576,271651,3228,126862,6095,635833,581,42295,3751,611788,780,115551,7400,658893
19552860,9565609,6671,7211584,26752,76713,603,19245127,3839,3852963,43064,19129950,7199,3253333,61090,19893297
9992167,4879034,7527,3546965,15286,77789,740,9800887,3675,1846305,29601,9720914,4997,1843768,35778,10097343
1404054,710917,1599,450120,4406,97904,2151,1345168,3281,90755,5676,1367662,1488,148368,10323,1419561
1612136,810879,2561,588489,5467,70027,1571,1592172,685,257475,12196,1582911,1262,246550,15129,1634464
12882135,6326778,4846,4783421,13914,92356,781,12704616,1398,1618204,26639,12576680,3928,1845393,34145,12880580
6570902,3228884,4840,2498395,10688,74596,907,6471551,786,902911,18953,6367890,3100,1015127,24249,6596855
3090416,1528770,3597,1236209,7287,82025,1235,3045284,750,247717,8562,2991670,1604,379127,13393,3107126
2893957,1440481,3429,1113729,6143,82863,1823,2836733,1635,348097,11646,2811722,2188,393358,17298,2904021
4395295,2163067,4037,1705623,9376,70000,1057,4312100,1403,616448,14144,4266556,2510,800635,19947,4413457
4625470,2256464,4818,1728149,9677,74454,1034,4522910,1435,751323,16791,4494989,2903,888019,24140,4649676
1328302,649994,1818,547686,5711,74950,1653,1314191,575,147015,7214,1293827,1147,180639,8805,1330089
5928814,2875157,3002,2161680,8942,111628,1184,5834039,2085,593178,17122,5788159,2967,585571,19629,5976407
6692824,3245774,2251,2536321,9232,109890,1156,6613654,1154,246666,10384,6456530,2610,770513,23021,6745408
9895622,4858138,3600,3832466,10485,77747,649,9784451,851,1071521,19023,9669513,4111,1648436,25647,9909877
5420380,2690694,4169,2119954,6871,93216,1025,5362681,492,439779,13984,5292348,2336,592422,16554,5457173
2991207,1451232,5443,1091002,7807,61720,1051,2925211,1208,499849,16001,2893768,2850,695915,21951,2994079
6044171,2960402,4817,2362853,9949,75392,864,5930677,1536,772833,18341,5861009,3082,931066,25159,6063589
1015165,507018,2006,406288,3840,76361,2089,999390,857,164548,7714,990603,976,163637,9336,1023579
1868516,925274,2103,730579,4441,81433,1213,1840659,988,208578,9171,1815565,1350,239433,11539,1881503
2790136,1403068,2051,1002571,7173,76978,1545,2757207,1123,570079,16823,2750476,2092,433576,18630,2839099
1323459,652662,1978,519246,4617,96438,2380,1308658,377,140252,6956,1281181,1408,111495,9003,1326813
8899339,4343749,2597,3176139,9966,113025,1085,8791652,1201,1160294,21506,8721010,3187,998549,28143,8938175
2085287,1034144,2457,753507,6087,70661,1442,2051900,1154,382440,13266,2045402,1557,448461,14432,2085572
19651127,9536179,4556,7219356,14194,98773,825,19400069,2026,2069521,30441,19133973,5745,3055645,41913,19746227
9848060,4795976,7164,3757480,13443,75719,733,9645320,3881,1508998,26466,9588277,3839,1715397,30951,9943964
723393,369155,2070,298298,2835,91184,2113,708181,783,73299,5510,698199,719,82398,5117,739482
11570808,5658223,4313,4564745,13440,78384,672,11398298,1524,1257556,21001,11248753,4641,1796942,35664,11594163
3850568,1906922,3202,1447277,6526,72908,877,3770254,1443,665773,12806,3735207,2100,626906,13621,3878051
3930065,1946196,3457,1523799,7789,78773,1223,3893092,601,570882,15195,3852871,2320,642138,19715,3970239
12773801,6243308,3926,4938894,14403,86481,661,12569375,1134,1222405,22289,12353256,3882,1690405,39229,12787209
1051511,512999,1419,406366,4030,92001,3182,1036046,798,120460,7024,1010827,1740,144446,9182,1055173
4774839,2321179,4144,1794989,10191,69898,951,4678122,1962,738852,18271,4631801,2952,860380,21666,4832482
844877,424160,1916,331406,2992,77110,1847,827039,886,93326,5407,815049,1215,115454,6396,853175
6495978,3174148,4739,2490249,12758,73274,702,6394644,1872,886662,19503,6335295,3095,1126772,24666,6549352
26448193,13145494,8622,9110853,20640,83479,542,25976562,4689,5748167,54720,25834229,6476,4530039,65158,26956958
2900872,1458758,2380,899475,5032,83170,971,2874213,958,402124,13201,2851587,2386,361181,15958,2942902
626630,308672,1386,253234,2792,85480,3002,620896,121,44904,3867,602538,524,74058,5273,626562
8260405,4060533,5474,3055863,11608,100149,886,8054191,4117,990626,22364,8010544,3323,938733,25914,8326289
6971406,3475830,3303,2644557,11069,91304,1074,6864149,3132,959991,21527,6836262,3828,967282,26419,7061530
1854304,916834,2422,738653,5969,66169,1490,1824821,505,255069,9707,1798266,1983,332347,12755,1850326
5742713,2855502,3237,2289424,8727,81109,841,5669266,705,517796,13745,5593197,2530,755551,17896,5757564
582658,297497,2320,224003,3223,82527,2091,573210,764,77028,5016,569307,563,62039,5844,584153
3615086,1729120,3404,1253690,9187,33638,824,3588641,531,229395,11114,3581841,2112,1626879,25081,3548397
4849377,2347969,5243,1841217,10615,70962,924,4767383,1932,579169,17159,4727549,2783,910175,25515,4858979
736732,385582,1999,249659,2978,98975,2717,711541,1618,122436,6141,717723,893,80627,6821,738432
6731484,3342946,2452,2428743,11353,78549,963,6623074,1740,903328,18176,6573369,3679,1199061,26607,6828065
2966369,1456778,4252,1131288,8373,68411,1546,2914376,756,343171,12887,2882856,1835,543882,15436,2978204
38802500,19264457,4495,12758648,18835,98670,466,38297457,5321,4766711,47494,38060228,7073,6259098,64461,39144818
5355866,2692599,3357,2039592,7530,96931,1273,5266022,2396,542611,15546,5237149,2559,630786,21138,5456574
3596677,1754116,1816,1355817,6673,121975,1752,3541282,1220,245399,10937,3485629,1870,374772,16369,3590886
935614,454005,925,349743,3705,91131,2862,920930,554,71597,6216,909611,1367,113508,7940,945934
658893,312633,686,277378,3304,125324,4501,647966,509,34188,4384,624327,573,110666,7793,672228
19893297,9722228,6892,7328046,25793,79196,626,19583357,3419,3245161,43047,19470210,6164,3211615,59681,20271272
10097343,4921939,6161,3587521,13961,79611,807,9906878,3443,1568381,28372,9823859,5286,1797969,39080,10214860
1419561,717313,1553,450769,4870,96672,2353,1367770,2267,72111,5321,1379804,1532,156729,10340,1431603
1634464,817050,2782,591587,4733,74539,2144,1612889,1331,218707,11098,1603083,1505,237981,11550,1654930
12880580,6320605,4324,4772421,12392,94388,843,12702393,1320,1237926,21565,12571848,5001,1804535,31908,12859995
6596855,3243979,5121,2502739,10912,76177,791,6498029,543,775884,21916,6391460,3622,974218,25464,6619680
3107126,1544801,3400,1241471,6257,83934,1272,3062900,1029,188885,8142,3004857,1994,367816,14237,3123899
2904021,1444945,3648,1109280,6429,85220,1281,2845414,1780,291474,10608,2821431,1822,382712,13369,2911641
4413457,2174158,3527,1712094,8632,70377,897,4328524,1238,366062,10870,4275359,3071,817542,22333,4425092
4649676,2272116,3972,1718194,10232,76002,1106,4547572,1845,671753,15760,4518525,2673,896524,23296,4670724
1330089,647622,1797,549841,5205,78247,1782,1315996,592,133531,7800,1294009,1312,182791,8933,1329328
5976407,2896033,2845,2165438,8230,112887,1171,5885847,2043,463268,15922,5835377,3394,589818,21635,6006401
6745408,3269679,2194,2549336,9145,115057,1157,6668348,1237,218722,8296,6509672,2466,757235,20233,6794422
9909877,4865257,3056,3834574,12574,79624,623,9798621,623,836728,18020,9686787,4096,1568844,28256,9922576
5457173,2712823,3068,2129195,6975,98701,1040,5398211,808,317257,11606,5332552,2450,611354,19609,5489594
2994079,1457828,3775,1095823,8793,64810,1167,2927088,1445,424130,13538,2895470,2092,623113,18212,2992333
6063589,2970513,3838,2354809,12290,78263,782,5950606,1614,693878,19150,5878658,2718,908628,22347,6083672
1023579,513409,1733,410962,3391,75858,1590,1008116,806,143321,6255,997952,1702,153954,7951,1032949
1881503,936197,2174,740765,3795,81074,1245,1853684,807,179206,6894,1828121,1343,227310,9475,1896190
2839099,1426744,2030,1021519,6553,76885,1386,2805532,1104,426653,14933,2800768,2077,426730,18737,2890845
1326813,654814,1601,519756,4605,101152,2041,1311921,451,120456,6828,1287504,829,117983,7687,1330608
8938175,4363391,2659,3194844,10719,115323,1145,8830969,1326,965411,18972,8762159,3378,972903,23646,8958013
2085572,1032779,2949,760916,6897,71731,1655,2050369,1333,297749,10205,2045525,1124,436153,17466,2085109
19746227,9574309,3968,7282398,15877,101025,905,19499548,2102,1696559,27877,19228524,4824,3062938,48945,19795791
9943964,4842403,6467,3790620,14716,76793,728,9752148,3509,1276054,24579,9691794,3044,1668686,32408,10042802
739482,376324,2104,305431,3533,96611,3070,724451,1000,56898,4790,712548,1044,82264,6353,756928
11594163,5676586,4591,4593172,13994,79702,654,11420809,1495,955205,19575,11276403,3595,1785780,29476,11613423
3878051,1920562,2531,1459759,5575,76315,914,3797966,1457,583512,11404,3759517,2366,623840,14892,3911338
3970239,1964293,3573,1535511,6674,82059,1007,3931306,976,382661,12691,3893475,2646,644450,21249,4028977
12787209,6253250,3783,4945972,12878,87813,648,12582815,841,1064577,20511,12371337,3870,1682212,31577,12802503
1055173,511650,1387,409654,3327,91169,2049,1039789,677,77119,5989,1015655,599,145596,9132,1056298
4832482,2351359,4607,1826914,10151,73073,960,4733742,2463,641557,17047,4691589,2682,843860,23093,4896146
853175,427381,2338,334475,2656,80950,2304,835403,736,81931,4450,824373,1078,116843,6179,858469
6549352,3190199,4846,2509665,11315,74359,959,6448737,1852,776319,19244,6386663,3638,1171307,27981,6600299
26956958,13384317,8322,9277197,22719,86136,560,26485838,3842,5047477,42745,26340247,5422,4523708,59686,27469114
2942902,1479527,2281,918370,4666,86361,1229,2916303,1341,365523,13446,2897762,1930,339900,16334,2995919
626562,308516,1131,257229,3177,83038,2649,620453,264,30716,2627,601819,882,73149,4724,626042
8326289,4092671,5531,3083820,12955,102635,839,8114884,4560,883636,22450,8080300,3250,953395,25894,8382993
7061530,3529597,3659,2679601,9916,94981,1042,6954806,3294,642654,16803,6927889,3758,913619,25464,7170351
1850326,914686,2605,735375,6298,65669,1150,1820836,500,156090,7841,1792949,2707,327764,12083,1844128
5757564,2857982,2972,2307685,7753,82515,936,5684725,564,417723,11609,5603486,2812,738270,19830,5771337
584153,297181,2369,232594,2987,85264,2666,574798,643,68748,4769,570149,749,63774,5334,586107
3548397,1704416,3135,1233490,9061,33709,781,3521353,565,216196,9274,3515261,1181,1624453,25674,3474182
4858979,2352810,5380,1846390,11341,74779,1084,4781070,1376,484271,16014,4736333,2309,876016,23918,4863300
738432,388695,1732,250185,2685,105426,3448,713082,1787,105966,5147,720765,857,74532,5835,741894
6828065,3387385,2294,2463008,12455,81103,1012,6719354,1844,727976,21202,6671705,3550,1159043,29822,6931071
2978204,1463576,3921,1144663,8300,70602,1247,2924307,1290,277547,12316,2887337,2988,550508,17473,2988248
