Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
6113532,3002694,5152,2385135,13054,87144,954,6000326,1538,548271,16930,5928516,4473,795732,21880,6126452
1050493,526357,2053,423091,4068,86122,2618,1036245,559,87709,5597,1024513,1940,127777,8406,1062305
1920076,959273,2628,754490,4583,92849,1644,1891453,931,156784,7400,1865038,1585,200909,11487,1929268
2998039,1506252,2138,1094613,6821,89666,1600,2962236,1424,332624,13150,2954279,2075,384120,18511,3034392
1342795,665741,2040,528700,4349,111903,2408,1325016,952,77059,5460,1298898,1427,99966,7412,1356458
9005644,4396848,2405,3218798,8951,128266,1096,8902432,1561,688068,17450,8831200,2566,882673,28071,8908520
2088070,1034144,3903,767705,6614,76126,1647,2054301,1433,186996,11840,2044187,1832,401755,16280,2095428
19849399,9637896,4655,7304332,18884,113760,1088,19608066,2106,1112942,26717,19337685,4757,2722257,47366,19542209
10273419,4998538,6368,3955069,14774,88118,795,10070781,3392,1075983,24107,10009042,3839,1471339,35219,10383620
755393,388300,1955,316306,3300,100402,2989,738177,1431,55582,4725,729355,1188,75279,5405,760077
11658609,5709254,5453,4667192,13650,88326,775,11485078,1447,686014,22201,11330762,4496,1582931,31003,11689442
3930864,1948986,3727,1470364,5913,80270,1039,3851302,1847,545483,11559,3814990,2186,603864,16323,3943079
4142776,2054016,3867,1603635,8695,94331,1296,4102901,1020,280816,12133,4064467,2475,537974,19115,4190713
12805537,6272521,3801,5008751,12653,98834,694,12602472,1128,692203,21008,12398112,4585,1548720,31552,12807060
1059639,513198,1829,408748,4427,104534,2793,1044111,858,48190,4466,1018556,943,118367,9887,1057315
5024369,2436902,5724,1905100,10277,83365,1272,4928260,2320,541533,16810,4882720,2812,751907,19900,5084127
869666,438429,2741,344260,3147,88962,2523,851826,955,77338,4822,838991,1814,109099,6423,882235
6715984,3272135,5451,2588655,10916,85424,1219,6612552,2386,629142,18999,6555389,3060,980284,25177,6770010
28304596,14062701,9000,9623874,22217,94376,563,27836924,4153,4816968,48225,27676343,7676,4076905,62508,28701845
3101833,1563433,2805,975448,5045,96840,1710,3076318,925,281753,12306,3052633,2684,296557,16717,3161105
623657,307810,1172,256629,3631,93647,2956,617556,273,28111,2741,599862,654,67841,5946,626299
8470020,4163754,5887,3120880,13665,113234,1181,8256810,4827,729179,21272,8221024,3096,874483,27673,8517685
7405743,3698615,3278,2840377,11168,110005,1092,7299812,2782,446106,15064,7273713,3235,802159,24114,7535591
1815857,897166,3107,715308,7000,71551,1537,1787126,719,108889,7091,1762467,2041,336301,14216,1805832
5795483,2880454,3795,2350293,7563,93538,972,5723963,784,309404,10822,5645194,2570,639564,18029,5813568
579315,295779,2452,225796,3968,90001,3561,568891,1060,69715,6810,565242,890,64054,6154,577737
3337177,1591997,4788,1191305,10722,35244,979,3309977,1047,227523,12360,3306715,1129,1468798,31819,3195153
4887871,2369271,5051,1855184,11821,82884,1100,4810094,1546,481259,15092,4763828,2786,800422,20616,4903185
737438,382952,1441,254551,3266,109619,3025,713033,1423,90128,6215,720869,846,78620,7217,731545
7171646,3565129,2355,2614298,11305,92154,1142,7064799,2070,749977,23819,7013444,3179,983499,28300,7278717
3013825,1476680,3794,1156347,7393,79300,1676,2960503,988,243585,9591,2925448,2347,504504,19795,3017804
39557045,19673553,5449,13072122,21485,119820,592,39062465,5627,2825620,42668,38818454,7167,4969326,62249,39512223
5695564,2864761,4727,2176757,7548,114334,1397,5604105,2082,421644,17082,5577020,2234,537492,18885,5758736
3572665,1740533,2353,1378091,6923,135132,2129,3523842,1078,186923,10844,3468263,1416,361377,14037,3565287
967171,467924,1358,367671,3933,99558,2852,952211,1135,53962,6377,940786,1409,117242,9236,973764
702455,334208,1421,287476,2752,165174,6305,692817,606,21897,3219,669031,717,108055,8920,705749
21299325,10404676,7415,7809358,20825,93126,786,20996007,3241,2728485,40133,20882651,6372,2840977,47549,21477737
10519475,5120290,6576,3803012,14400,96467,1164,10334958,2874,1411183,29083,10238658,5792,1468642,34068,10617423
1420491,710702,1375,455309,4541,117062,2896,1368549,2598,55799,5028,1382448,1809,122143,8890,1415872
1754208,882158,3559,640270,5214,85210,2244,1733484,857,192620,11139,1723154,1641,203264,12603,1787065
12741080,6266062,4378,4864864,12677,109310,806,12563908,1621,874608,22182,12447271,3849,1509247,32779,12671821
6691878,3295973,5458,2599169,10447,87828,1095,6592504,1089,545123,18662,6489261,4578,852638,24677,6732219
3156145,1564888,3527,1267873,7772,93160,1233,3113029,531,147039,8738,3055939,1516,343504,13910,3155070
2911510,1449745,3481,1133408,7193,95478,1545,2854774,1728,250355,10268,2825680,2043,338175,14157,2913314
4468402,2199021,4805,1732713,8718,81782,1334,4388204,1183,247641,11238,4326305,3844,730408,22182,4467673
4659978,2276530,6576,1737220,10627,83031,1295,4556078,1982,363362,13456,4529028,2896,843626,23603,4648794
1338404,655734,2071,570307,5261,89437,1651,1323289,517,106187,6436,1301941,1553,151541,7765,1344212
6042718,2930350,3655,2215935,9432,128918,1433,5943064,2569,356708,14816,5899819,3071,528203,21054,6045680
6902149,3350887,2830,2624294,8879,134463,1312,6830796,760,188907,11175,6665083,2673,663918,20551,6892503
9995915,4926816,3192,3957466,12369,93320,782,9888529,864,534551,14231,9774124,3126,1373349,26495,9986857
5611179,2793980,3564,2194452,6925,112398,1114,5553564,740,244379,9542,5488344,2504,529077,16528,5639632
2986530,1446829,5311,1108630,9460,73550,1422,2919673,1311,354151,11627,2886448,1942,567645,18752,2976149
6126452,3003165,4798,2434806,10407,89955,1002,6014742,1422,566327,17546,5943658,3566,786330,21180,6137428
1062305,534782,2521,431421,4444,88561,2528,1047075,795,86029,5338,1037462,1216,135114,8427,1068778
1929268,961213,2773,765490,3878,95522,1662,1900165,832,157612,7596,1875342,1788,206341,9787,1934408
3034392,1522374,2263,1129810,6479,93915,1875,2998585,1702,336191,12913,2991978,2471,387327,14864,3080156
