Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
2758931,1391864,1827,1006605,7913,74437,1495,2723965,1559,603425,16624,2718565,3392,446840,19216,2167405,2508,12.3,0.4,12.6,0.7,1006605,7913,552324,7892,1159,16,944,12,2790136
1320718,648288,1796,519137,4650,94164,1843,1306026,548,138842,7993,1280027,1345,128466,10865,1079792,2010,6.5,0.5,6.7,0.8,519137,4650,367863,5474,1466,22,967,14,1323459
8864590,4321436,2448,3198799,8893,109594,1057,8756542,1146,1112809,27126,8691673,2911,934943,22315,7077678,4443,10.1,0.2,8.2,0.3,3198799,8893,2081481,13198,1884,13,1148,7,8899339
2085538,1034877,2603,764996,5964,67081,1309,2051805,1427,377986,9943,2044778,1740,426245,13843,1627551,2682,10.3,0.6,16.8,0.8,764996,5964,518106,7759,760,19,753,12,2085287
19570261,9485872,4452,7238922,16375,94367,727,19316728,2028,2102909,29752,19064064,4156,3025016,36603,15822629,6465,9.2,0.1,12.2,0.2,7238922,16375,3883893,16541,1371,8,1079,6,19651127
9752073,4751047,5464,3731325,14347,72572,693,9552529,3461,1582240,26207,9498993,3156,1713132,31019,7720907,6128,10.8,0.3,13.4,0.3,3731325,14347,2441626,15846,903,8,756,5,9848060
699628,357591,1433,290944,2708,88627,2503,684776,917,68524,4779,674852,714,75703,4270,561051,1543,3.3,0.5,7.0,0.7,290944,2708,189193,3576,708,23,644,14,723393
11544225,5642634,4379,4554672,11606,75603,681,11371766,1352,1304247,21906,11227482,4488,1824628,28992,9196303,5312,9.1,0.2,12.0,0.3,4554672,11606,3019382,13908,925,6,700,4,11570808
3814820,1889807,2673,1446667,5298,70924,1147,3733058,1692,685076,11567,3699653,1970,637429,14041,2975401,2753,6.8,0.2,13.1,0.4,1446667,5298,960369,7142,742,9,686,6,3850568
3899353,1932789,3361,1516957,7216,75817,1061,3860452,927,576009,16819,3826398,2672,658359,22218,3136866,3726,11.0,0.4,12.1,0.6,1516957,7216,933775,9126,1193,14,862,8,3930065
12763536,6229333,3651,4958249,11531,83372,548,12559315,1121,1224649,20104,12353867,3236,1693285,30788,10366567,4621,8.9,0.2,9.5,0.3,4958249,11531,3416499,15135,971,7,798,5,12773801
1050292,506835,1355,413083,3010,88306,2360,1034895,650,114865,6125,1010449,885,138907,8499,860108,1511,9.4,0.6,9.2,0.8,413083,3010,247790,4277,1500,31,878,15,1051511
4723723,2295781,4676,1787340,9096,68699,871,4623171,2221,778181,18715,4585454,2040,837770,22603,3761993,4081,11.2,0.4,14.1,0.5,1787340,9096,1217692,9732,801,13,754,9,4774839
833354,417803,1674,323765,3111,75013,2042,816425,682,94133,5097,804310,815,107846,5355,652501,1351,4.7,0.4,8.6,0.8,323765,3111,217200,3814,778,20,651,17,844877
6456243,3144756,4329,2480090,11146,70434,806,6354629,2073,882120,20014,6295994,3016,1129330,27122,5131838,4951,9.5,0.3,13.7,0.4,2480090,11146,1654001,14531,807,8,730,6,6495978
26059203,12945218,7615,8970959,21541,80319,489,25584499,3960,5762358,53910,25450518,6257,4562352,58642,19828118,11388,8.0,0.1,14.0,0.2,8970959,21541,5586856,26359,988,7,831,4,26448193
2855287,1435028,2086,895691,5044,79892,1302,2829001,909,409171,14030,2806020,2814,360017,18926,2054876,2260,6.8,0.4,9.6,0.7,895691,5044,623589,6650,1156,15,851,11,2900872
626011,309184,980,258520,2853,82408,2045,619928,318,40053,3029,601611,741,71084,4549,518107,1230,6.4,0.6,7.4,0.8,258520,2853,183563,2872,1159,23,860,18,626630
8185867,4015045,6243,3038967,13344,97987,690,7973466,4199,999735,20819,7936903,2853,931805,22863,6541339,5175,6.9,0.2,8.6,0.3,3038967,13344,2010442,15164,1273,12,1068,10,8260405
6897012,3441429,2785,2636817,10074,88769,829,6793078,2904,944771,20524,6761934,3299,915278,30419,5486401,3593,8.7,0.3,9.3,0.4,2636817,10074,1643637,12066,1356,12,954,8,6971406
1855413,911681,2937,741544,5473,64479,1347,1826512,259,263809,8531,1801131,2144,320055,13000,1513215,2078,8.0,0.5,12.9,0.7,741544,5473,533758,5867,494,12,607,12,1854304
5726398,2842737,3446,2288362,8293,79660,743,5652085,607,505998,13496,5573134,3298,737356,16981,4562954,3541,7.3,0.2,8.9,0.3,2288362,8293,1539778,10829,1060,9,743,6,5742713
576412,292736,1854,223513,2812,80488,2561,567082,836,87084,5765,561445,1473,71019,6087,453994,1417,5.6,0.7,8.5,1.0,223513,2812,154329,3897,839,34,742,18,582658
3667084,1757273,2739,1263694,9111,32805,674,3641762,450,263111,11071,3633892,1704,1632533,27010,2924775,3112,17.3,0.6,40.6,0.8,1263694,9111,877877,8341,290,7,448,8,3615086
4833722,2341869,4937,1822439,11200,70447,900,4755381,1814,645435,16823,4716105,2548,883371,20758,3845555,4919,9.6,0.4,14.3,0.4,1822439,11200,1240017,12974,718,11,694,7,4849377
735132,386404,1948,246015,2720,101544,3206,712248,1963,131986,7152,718359,1166,67016,4778,565724,1639,8.7,0.7,5.9,0.6,246015,2720,156107,3268,1311,47,1117,25,736732
6626624,3298086,2142,2400809,11557,76117,1010,6521226,1734,1118186,24489,6477191,3417,1206460,32132,5191686,4130,8.9,0.3,13.6,0.4,2400809,11557,1490031,12319,943,10,890,8,6731484
2959373,1461544,4406,1125899,6925,65578,1061,2907014,1233,464950,13520,2873340,3117,565469,16418,2325168,3559,8.1,0.4,14.5,0.6,1125899,6925,739987,8706,637,12,659,8,2966369
38332521,19072246,4878,12650592,16944,95232,490,37831553,5167,6500179,57140,37593091,8648,6328824,64631,30209117,10041,10.0,0.1,12.6,0.2,12650592,16944,6804639,28833,1612,8,1224,4,38802500
5268367,2645976,3935,2002800,8550,93036,1023,5173272,2685,729188,17591,5151461,2077,667446,21463,4154394,4759,7.0,0.3,8.7,0.4,2002800,8550,1291945,10661,1235,14,971,10,5355866
3596080,1751883,2326,1339860,7005,118345,2037,3541409,1156,332503,14330,3485353,2242,373900,14722,2908882,2529,9.3,0.4,7.6,0.4,1339860,7005,888478,8542,1622,17,1040,14,3596677
925749,447789,1076,339071,3144,89016,2278,911502,1114,83284,5969,900322,1123,111327,9589,742125,1353,8.6,0.7,8.5,1.0,339071,3144,243047,3975,1137,32,999,21,935614
646449,306147,576,271651,3228,126862,6095,635833,581,42295,3751,611788,780,115551,7400,545434,907,10.4,0.8,15.7,1.5,271651,3228,110513,3814,1836,72,1307,39,658893
19552860,9565609,6671,7211584,26752,76713,603,19245127,3839,3852963,43064,19129950,7199,3253333,61090,15996701,8104,9.7,0.2,12.4,0.3,7211584,26752,4672482,24352,935,8,972,4,19893297
9992167,4879034,7527,3546965,15286,77789,740,9800887,3675,1846305,29601,9720914,4997,1843768,35778,7779840,6627,10.3,0.3,14.5,0.4,3546965,15286,2222377,19196,982,9,850,6,10097343
1404054,710917,1599,450120,4406,97904,2151,1345168,3281,90755,5676,1367662,1488,148368,10323,1128541,1830,6.1,0.5,7.1,0.7,450120,4406,252999,3913,1630,51,1414,32,1419561
1612136,810879,2561,588489,5467,70027,1571,1592172,685,257475,12196,1582911,1262,246550,15129,1229288,2596,7.2,0.6,10.4,0.8,588489,5467,408174,6844,886,20,725,12,1634464
12882135,6326778,4846,4783421,13914,92356,781,12704616,1398,1618204,26639,12576680,3928,1845393,34145,10205949,5626,9.5,0.2,10.8,0.3,4783421,13914,3154027,17254,1156,8,885,5,12880580
6570902,3228884,4840,2498395,10688,74596,907,6471551,786,902911,18953,6367890,3100,1015127,24249,5158420,4053,7.8,0.2,11.9,0.4,2498395,10688,1712020,11961,822,6,730,6,6596855
3090416,1528770,3597,1236209,7287,82025,1235,3045284,750,247717,8562,2991670,1604,379127,13393,2448772,3103,4.8,0.2,8.1,0.4,1236209,7287,875362,8231,806,9,679,6,3107126
2893957,1440481,3429,1113729,6143,82863,1823,2836733,1635,348097,11646,2811722,2188,393358,17298,2251143,2937,5.9,0.4,9.6,0.6,1113729,6143,735737,7229,856,12,745,8,2904021
4395295,2163067,4037,1705623,9376,70000,1057,4312100,1403,616448,14144,4266556,2510,800635,19947,3491773,4249,8.4,0.3,14.5,0.4,1705623,9376,1149308,10177,717,12,668,9,4413457
4625470,2256464,4818,1728149,9677,74454,1034,4522910,1435,751323,16791,4494989,2903,888019,24140,3635318,3786,8.0,0.3,15.3,0.5,1728149,9677,1140052,11811,680,15,763,9,4649676
1328302,649994,1818,547686,5711,74950,1653,1314191,575,147015,7214,1293827,1147,180639,8805,1100185,2405,6.9,0.5,9.6,0.8,547686,5711,384237,5646,904,19,760,16,1330089
5928814,2875157,3002,2161680,8942,111628,1184,5834039,2085,593178,17122,5788159,2967,585571,19629,4739307,3530,7.4,0.3,7.1,0.4,2161680,8942,1436907,10973,1540,14,1210,10,5976407
6692824,3245774,2251,2536321,9232,109890,1156,6613654,1154,246666,10384,6456530,2610,770513,23021,5472484,3508,7.8,0.3,8.6,0.4,2536321,9232,1560809,13055,1581,13,1077,11,6745408
9895622,4858138,3600,3832466,10485,77747,649,9784451,851,1071521,19023,9669513,4111,1648436,25647,7923212,4550,9.8,0.2,12.3,0.3,3832466,10485,2703957,13324,869,6,768,6,9909877
5420380,2690694,4169,2119954,6871,93216,1025,5362681,492,439779,13984,5292348,2336,592422,16554,4279160,3730,5.4,0.2,7.2,0.3,2119954,6871,1516900,9427,1095,9,832,7,5457173
2991207,1451232,5443,1091002,7807,61720,1051,2925211,1208,499849,16001,2893768,2850,695915,21951,2333076,3757,10.6,0.5,19.0,0.8,1091002,7807,733101,8509,604,14,708,10,2994079
6044171,2960402,4817,2362853,9949,75392,864,5930677,1536,772833,18341,5861009,3082,931066,25159,4798628,4443,7.5,0.3,11.5,0.5,2362853,9949,1582412,10949,837,8,734,6,6063589
1015165,507018,2006,406288,3840,76361,2089,999390,857,164548,7714,990603,976,163637,9336,815994,2198,6.5,0.5,11.3,1.1,406288,3840,271719,4579,779,27,690,18,1023579
1868516,925274,2103,730579,4441,81433,1213,1840659,988,208578,9171,1815565,1350,239433,11539,1455098,2446,4.6,0.3,8.8,0.6,730579,4441,482452,6278,905,14,714,10,1881503
2790136,1403068,2051,1002571,7173,76978,1545,2757207,1123,570079,16823,2750476,2092,433576,18630,2205776,2448,11.0,0.5,11.6,0.7,1002571,7173,544455,7251,1083,15,952,11,2839099
1323459,652662,1978,519246,4617,96438,2380,1308658,377,140252,6956,1281181,1408,111495,9003,1087554,1894,6.0,0.5,5.1,0.6,519246,4617,364255,5925,1403,25,995,20,1326813
8899339,4343749,2597,3176139,9966,113025,1085,8791652,1201,1160294,21506,8721010,3187,998549,28143,7113632,4751,9.1,0.2,8.7,0.4,3176139,9966,2034223,13473,1820,17,1171,8,8938175
2085287,1034144,2457,753507,6087,70661,1442,2051900,1154,382440,13266,2045402,1557,448461,14432,1632274,3360,9.2,0.6,16.3,0.7,753507,6087,511693,7543,745,21,772,16,2085572
19651127,9536179,4556,7219356,14194,98773,825,19400069,2026,2069521,30441,19133973,5745,3055645,41913,15908545,6464,8.7,0.2,12.1,0.2,7219356,14194,3873299,19890,1339,8,1109,6,19746227
9848060,4795976,7164,3757480,13443,75719,733,9645320,3881,1508998,26466,9588277,3839,1715397,30951,7810152,7129,9.7,0.2,13.1,0.3,3757480,13443,2414717,16856,890,9,778,5,9943964
723393,369155,2070,298298,2835,91184,2113,708181,783,73299,5510,698199,719,82398,5117,578011,1849,2.6,0.3,7.0,0.8,298298,2835,193389,3714,744,25,690,17,739482
11570808,5658223,4313,4564745,13440,78384,672,11398298,1524,1257556,21001,11248753,4641,1796942,35664,9226076,5467,8.1,0.2,11.6,0.3,4564745,13440,3015795,17826,898,6,709,4,11594163
3850568,1906922,3202,1447277,6526,72908,877,3770254,1443,665773,12806,3735207,2100,626906,13621,3000625,2835,6.2,0.3,12.5,0.4,1447277,6526,948540,8048,737,11,705,7,3878051
3930065,1946196,3457,1523799,7789,78773,1223,3893092,601,570882,15195,3852871,2320,642138,19715,3168981,3733,9.2,0.4,11.3,0.5,1523799,7789,926930,9344,1156,19,887,8,3970239
12773801,6243308,3926,4938894,14403,86481,661,12569375,1134,1222405,22289,12353256,3882,1690405,39229,10376527,5665,8.3,0.2,9.3,0.3,4938894,14403,3405170,15735,950,7,828,5,12787209
1051511,512999,1419,406366,4030,92001,3182,1036046,798,120460,7024,1010827,1740,144446,9182,866805,1645,9.2,0.7,10.7,1.0,406366,4030,245409,4846,1429,35,918,16,1055173
4774839,2321179,4144,1794989,10191,69898,951,4678122,1962,738852,18271,4631801,2952,860380,21666,3812758,4302,9.5,0.4,14.1,0.5,1794989,10191,1223614,11969,786,12,766,9,4832482
844877,424160,1916,331406,2992,77110,1847,827039,886,93326,5407,815049,1215,115454,6396,656877,1822,4.0,0.4,9.2,0.8,331406,2992,222809,3636,775,19,637,17,853175
6495978,3174148,4739,2490249,12758,73274,702,6394644,1872,886662,19503,6335295,3095,1126772,24666,5168275,4334,8.7,0.3,13.3,0.5,2490249,12758,1652976,14369,792,9,748,7,6549352
26448193,13145494,8622,9110853,20640,83479,542,25976562,4689,5748167,54720,25834229,6476,4530039,65158,20168039,9709,7.1,0.1,13.6,0.3,9110853,20640,5634317,28687,961,6,857,4,26956958
2900872,1458758,2380,899475,5032,83170,971,2874213,958,402124,13201,2851587,2386,361181,15958,2096758,2924,5.5,0.3,9.3,0.6,899475,5032,622572,6557,1121,11,881,12,2942902
626630,308672,1386,253234,2792,85480,3002,620896,121,44904,3867,602538,524,74058,5273,518747,1230,5.8,0.5,7.8,1.0,253234,2792,179791,3471,1119,24,865,19,626562
8260405,4060533,5474,3055863,11608,100149,886,8054191,4117,990626,22364,8010544,3323,938733,25914,6601767,5099,6.6,0.2,8.4,0.3,3055863,11608,2005192,18287,1233,13,1086,10,8326289
6971406,3475830,3303,2644557,11069,91304,1074,6864149,3132,959991,21527,6836262,3828,967282,26419,5550461,5138,7.9,0.2,9.5,0.4,2644557,11069,1638028,14592,1302,12,989,8,7061530
1854304,916834,2422,738653,5969,66169,1490,1824821,505,255069,9707,1798266,1983,332347,12755,1512727,2370,8.5,0.5,13.5,0.8,738653,5969,534266,6150,503,15,620,11,1850326
5742713,2855502,3237,2289424,8727,81109,841,5669266,705,517796,13745,5593197,2530,755551,17896,4585045,3929,6.5,0.2,9.2,0.3,2289424,8727,1537926,9764,1027,7,758,6,5757564
582658,297497,2320,224003,3223,82527,2091,573210,764,77028,5016,569307,563,62039,5844,458613,1874,5.1,0.6,8.4,1.1,224003,3223,154699,3888,880,36,780,24,584153
3615086,1729120,3404,1253690,9187,33638,824,3588641,531,229395,11114,3581841,2112,1626879,25081,2905959,2919,18.1,0.6,41.6,0.8,1253690,9187,865343,7669,283,6,448,11,3548397
4849377,2347969,5243,1841217,10615,70962,924,4767383,1932,579169,17159,4727549,2783,910175,25515,3868747,3738,8.6,0.3,15.0,0.5,1841217,10615,1246080,12085,733,10,717,9,4858979
736732,385582,1999,249659,2978,98975,2717,711541,1618,122436,6141,717723,893,80627,6821,569911,1636,7.6,0.6,7.9,0.9,249659,2978,156006,4250,1366,46,1183,29,738432
6731484,3342946,2452,2428743,11353,78549,963,6623074,1740,903328,18176,6573369,3679,1199061,26607,5290469,4130,7.9,0.3,13.2,0.4,2428743,11353,1484857,11801,931,11,916,9,6828065
2966369,1456778,4252,1131288,8373,68411,1546,2914376,756,343171,12887,2882856,1835,543882,15436,2343443,3729,6.8,0.3,13.8,0.6,1131288,8373,744318,10448,662,13,683,9,2978204
38802500,19264457,4495,12758648,18835,98670,466,38297457,5321,4766711,47494,38060228,7073,6259098,64461,30704439,9615,8.5,0.1,12.2,0.1,12758648,18835,6855688,27608,1613,8,1268,5,39144818
5355866,2692599,3357,2039592,7530,96931,1273,5266022,2396,542611,15546,5237149,2559,630786,21138,4238297,3544,5.5,0.2,8.0,0.4,2039592,7530,1302533,10820,1250,12,1020,12,5456574
3596677,1754116,1816,1355817,6673,121975,1752,3541282,1220,245399,10937,3485629,1870,374772,16369,2919245,2833,7.9,0.3,7.5,0.5,1355817,6673,900039,8072,1634,18,1076,13,3590886
935614,454005,925,349743,3705,91131,2862,920930,554,71597,6216,909611,1367,113508,7940,754226,1498,6.7,0.6,8.5,1.0,349743,3705,245808,4425,1144,26,1024,27,945934
658893,312633,686,277378,3304,125324,4501,647966,509,34188,4384,624327,573,110666,7793,555126,827,8.9,0.8,14.2,1.7,277378,3304,112492,3641,1786,74,1360,45,672228
19893297,9722228,6892,7328046,25793,79196,626,19583357,3419,3245161,43047,19470210,6164,3211615,59681,16308785,7380,8.0,0.2,12.0,0.3,7328046,25793,4693821,26616,933,7,1003,7,20271272
10097343,4921939,6161,3587521,13961,79611,807,9906878,3443,1568381,28372,9823859,5286,1797969,39080,7881211,6136,8.3,0.3,14.1,0.4,3587521,13961,2232553,17839,989,10,882,7,10214860
1419561,717313,1553,450769,4870,96672,2353,1367770,2267,72111,5321,1379804,1532,156729,10340,1143931,1584,5.4,0.5,7.8,0.7,450769,4870,255375,5028,1546,49,1448,30,1431603
1634464,817050,2782,591587,4733,74539,2144,1612889,1331,218707,11098,1603083,1505,237981,11550,1250127,3046,5.5,0.6,10.2,0.7,591587,4733,402394,6319,854,16,755,16,1654930
12880580,6320605,4324,4772421,12392,94388,843,12702393,1320,1237926,21565,12571848,5001,1804535,31908,10240928,4678,8.1,0.2,10.5,0.3,4772421,12392,3125655,15819,1163,7,905,7,12859995
6596855,3243979,5121,2502739,10912,76177,791,6498029,543,775884,21916,6391460,3622,974218,25464,5192037,4727,7.1,0.3,10.9,0.4,2502739,10912,1716341,13216,840,6,753,6,6619680
3107126,1544801,3400,1241471,6257,83934,1272,3062900,1029,188885,8142,3004857,1994,367816,14237,2463632,3335,4.4,0.2,7.9,0.4,1241471,6257,879878,7925,843,9,711,8,3123899
2904021,1444945,3648,1109280,6429,85220,1281,2845414,1780,291474,10608,2821431,1822,382712,13369,2259733,3545,5.2,0.3,9.2,0.4,1109280,6429,739168,7329,894,15,773,9,2911641
4413457,2174158,3527,1712094,8632,70377,897,4328524,1238,366062,10870,4275359,3071,817542,22333,3509151,4192,7.6,0.3,14.5,0.6,1712094,8632,1131197,10706,754,10,678,6,4425092
4649676,2272116,3972,1718194,10232,76002,1106,4547572,1845,671753,15760,4518525,2673,896524,23296,3655824,4859,7.5,0.3,14.9,0.6,1718194,10232,1106785,10765,686,14,801,8,4670724
1330089,647622,1797,549841,5205,78247,1782,1315996,592,133531,7800,1294009,1312,182791,8933,1102244,1635,5.9,0.4,9.7,0.8,549841,5205,392139,5035,944,21,776,13,1329328
5976407,2896033,2845,2165438,8230,112887,1171,5885847,2043,463268,15922,5835377,3394,589818,21635,4775143,3954,7.2,0.2,7.1,0.4,2165438,8230,1426748,11362,1560,16,1242,12,6006401
6745408,3269679,2194,2549336,9145,115057,1157,6668348,1237,218722,8296,6509672,2466,757235,20233,5520206,3641,6.7,0.3,8.3,0.4,2549336,9145,1570332,11411,1599,12,1107,10,6794422
9909877,4865257,3056,3834574,12574,79624,623,9798621,623,836728,18020,9686787,4096,1568844,28256,7957568,4941,8.3,0.2,11.4,0.3,3834574,12574,2693284,15012,887,6,788,6,9922576
5457173,2712823,3068,2129195,6975,98701,1040,5398211,808,317257,11606,5332552,2450,611354,19609,4318075,3243,4.7,0.2,7.5,0.4,2129195,6975,1526406,9904,1105,9,859,7,5489594
2994079,1457828,3775,1095823,8793,64810,1167,2927088,1445,424130,13538,2895470,2092,623113,18212,2338899,3586,9.8,0.4,16.5,0.6,1095823,8793,741504,10031,644,13,711,10,2992333
6063589,2970513,3838,2354809,12290,78263,782,5950606,1614,693878,19150,5878658,2718,908628,22347,4827523,4262,6.8,0.3,10.7,0.4,2354809,12290,1575626,12914,861,8,754,7,6083672
1023579,513409,1733,410962,3391,75858,1590,1008116,806,143321,6255,997952,1702,153954,7951,822974,1799,4.9,0.5,9.5,0.8,410962,3391,272856,4625,785,27,711,15,1032949
1881503,936197,2174,740765,3795,81074,1245,1853684,807,179206,6894,1828121,1343,227310,9475,1462485,2455,4.2,0.3,8.7,0.6,740765,3795,488438,4861,920,16,742,10,1896190
2839099,1426744,2030,1021519,6553,76885,1386,2805532,1104,426653,14933,2800768,2077,426730,18737,2251404,2432,8.9,0.4,11.0,0.6,1021519,6553,547905,6648,1054,16,955,11,2890845
1326813,654814,1601,519756,4605,101152,2041,1311921,451,120456,6828,1287504,829,117983,7687,1094383,1948,5.1,0.3,6.0,0.7,519756,4605,364996,4581,1434,29,994,16,1330608
8938175,4363391,2659,3194844,10719,115323,1145,8830969,1326,965411,18972,8762159,3378,972903,23646,7166696,4786,7.5,0.2,8.3,0.3,3194844,10719,2021062,12667,1831,13,1202,8,8958013
2085572,1032779,2949,760916,6897,71731,1655,2050369,1333,297749,10205,2045525,1124,436153,17466,1639468,2924,8.7,0.5,16.5,1.0,760916,6897,509151,6597,767,23,777,17,2085109
19746227,9574309,3968,7282398,15877,101025,905,19499548,2102,1696559,27877,19228524,4824,3062938,48945,16001813,7423,7.3,0.1,12.2,0.3,7282398,15877,3857906,20082,1362,9,1148,5,19795791
9943964,4842403,6467,3790620,14716,76793,728,9752148,3509,1276054,24579,9691794,3044,1668686,32408,7900178,6904,8.3,0.2,12.8,0.3,3790620,14716,2435384,18248,902,7,803,6,10042802
739482,376324,2104,305431,3533,96611,3070,724451,1000,56898,4790,712548,1044,82264,6353,589297,1376,3.0,0.4,7.4,0.9,305431,3533,195002,4098,743,23,728,12,756928
11594163,5676586,4591,4593172,13994,79702,654,11420809,1495,955205,19575,11276403,3595,1785780,29476,9262560,5573,7.2,0.2,11.6,0.3,4593172,13994,3000748,17269,907,5,735,4,11613423
3878051,1920562,2531,1459759,5575,76315,914,3797966,1457,583512,11404,3759517,2366,623840,14892,3029228,2499,5.7,0.3,12.2,0.4,1459759,5575,950817,7331,752,11,737,8,3911338
3970239,1964293,3573,1535511,6674,82059,1007,3931306,976,382661,12691,3893475,2646,644450,21249,3210388,3868,7.8,0.3,11.0,0.5,1535511,6674,932392,9092,1134,16,924,10,4028977
12787209,6253250,3783,4945972,12878,87813,648,12582815,841,1064577,20511,12371337,3870,1682212,31577,10405544,4594,7.0,0.2,9.4,0.3,4945972,12878,3404164,14323,968,6,848,6,12802503
1055173,511650,1387,409654,3327,91169,2049,1039789,677,77119,5989,1015655,599,145596,9132,868108,1498,7.8,0.6,10.0,1.0,409654,3327,240878,4850,1425,30,934,16,1056298
4832482,2351359,4607,1826914,10151,73073,960,4733742,2463,641557,17047,4691589,2682,843860,23093,3871752,4403,8.1,0.3,13.2,0.6,1826914,10151,1243177,11898,786,10,791,7,4896146
853175,427381,2338,334475,2656,80950,2304,835403,736,81931,4450,824373,1078,116843,6179,665564,1723,3.9,0.5,9.4,0.8,334475,2656,228010,3569,781,20,647,14,858469
6549352,3190199,4846,2509665,11315,74359,959,6448737,1852,776319,19244,6386663,3638,1171307,27981,5222167,4278,7.8,0.3,13.7,0.4,2509665,11315,1659797,14297,807,9,770,7,6600299
26956958,13384317,8322,9277197,22719,86136,560,26485838,3842,5047477,42745,26340247,5422,4523708,59686,20605746,8590,6.1,0.1,13.4,0.2,9277197,22719,5674241,28289,986,7,896,4,27469114
2942902,1479527,2281,918370,4666,86361,1229,2916303,1341,365523,13446,2897762,1930,339900,16334,2130444,3007,5.0,0.3,8.5,0.6,918370,4666,635163,6737,1134,14,886,13,2995919
626562,308516,1131,257229,3177,83038,2649,620453,264,30716,2627,601819,882,73149,4724,520279,1053,5.5,0.6,8.7,0.9,257229,3177,180184,3423,1155,25,917,26,626042
8326289,4092671,5531,3083820,12955,102635,839,8114884,4560,883636,22450,8080300,3250,953395,25894,6664581,5021,6.1,0.2,8.3,0.3,3083820,12955,2014812,16640,1244,11,1116,10,8382993
7061530,3529597,3659,2679601,9916,94981,1042,6954806,3294,642654,16803,6927889,3758,913619,25464,5635461,3788,6.5,0.3,8.8,0.4,2679601,9916,1654620,12782,1293,13,1032,10,7170351
1850326,914686,2605,735375,6298,65669,1150,1820836,500,156090,7841,1792949,2707,327764,12083,1510708,2400,6.9,0.5,13.1,0.7,735375,6298,530755,7300,495,10,656,11,1844128
5757564,2857982,2972,2307685,7753,82515,936,5684725,564,417723,11609,5603486,2812,738270,19830,4606827,3970,5.3,0.2,9.0,0.3,2307685,7753,1536893,11259,1047,8,782,6,5771337
584153,297181,2369,232594,2987,85264,2666,574798,643,68748,4769,570149,749,63774,5334,461972,1568,4.3,0.7,7.4,0.9,232594,2987,155617,3486,887,48,792,30,586107
3548397,1704416,3135,1233490,9061,33709,781,3521353,565,216196,9274,3515261,1181,1624453,25674,2878013,2575,18.5,0.7,42.3,0.8,1233490,9061,837840,10343,293,6,467,11,3474182
4858979,2352810,5380,1846390,11341,74779,1084,4781070,1376,484271,16014,4736333,2309,876016,23918,3878471,4687,7.2,0.3,13.7,0.5,1846390,11341,1253595,13117,724,11,729,9,4863300
738432,388695,1732,250185,2685,105426,3448,713082,1787,105966,5147,720765,857,74532,5835,571393,1430,7.9,0.7,7.0,0.8,250185,2685,159922,3409,1360,42,1163,25,741894
6828065,3387385,2294,2463008,12455,81103,1012,6719354,1844,727976,21202,6671705,3550,1159043,29822,5393214,3898,6.9,0.3,12.5,0.4,2463008,12455,1524828,12566,976,10,933,9,6931071
2978204,1463576,3921,1144663,8300,70602,1247,2924307,1290,277547,12316,2887337,2988,550508,17473,2352507,3332,5.8,0.4,13.7,0.6,1144663,8300,746000,10027,663,13,695,8,2988248
39144818,19440558,4443,12896357,19487,101885,512,38649621,4947,3317265,33518,38398057,6625,5891678,66827,31068647,10008,7.3,0.1,11.3,0.2,12896357,19487,6910823,27840,1648,9,1311,5,39250017
5456574,2741020,3494,2074735,7548,101461,1195,5367335,2710,432622,15117,5339618,2635,613549,20501,4333738,3353,5.2,0.3,7.6,0.3,2074735,7548,1322618,9565,1273,13,1111,11,5540545
3590886,1752063,1923,1343703,6712,122665,1578,3537983,1086,210522,13231,3480932,2053,366909,15789,2922877,2830,6.9,0.3,7.4,0.4,1343703,6712,889035,8413,1648,17,1108,12,3576452
945934,458208,1047,352595,3920,93475,2358,931203,797,54498,5577,920355,878,114360,9567,765250,1688,5.8,0.5,8.7,1.0,352595,3920,249681,4261,1137,29,1049,26,952065
672228,319705,699,281787,3030,147329,10218,660682,666,24980,3934,638027,441,110500,8628,564206,1235,7.3,0.6,14.0,1.6,281787,3030,112555,3556,1910,57,1417,39,681170
20271272,9891238,6494,7463184,23147,82319,698,19960169,3766,2661549,40418,19850054,6121,3116886,47330,16640196,7825,7.0,0.2,11.3,0.3,7463184,23147,4760071,23483,951,7,1046,5,20612439
