Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
0.4925369181285659,0.2405107350494702,0.00033651950697596465,0.17659768858999983,0.0007958615344304987,0.0036738234180802797,2.8550404223548537e-05,0.48276228408861355,0.0001551255533211989,0.09511219795371943,0.0017685530147357998,0.47906391645091656,0.00024731851047645864,0.08564776430921187,0.0018740323056505085,0.3802226705849793,0.0003233345956116261,6.389610891948696e-07,1.5213359266544514e-08,6.947434065055328e-07,2.0284479022059354e-08,0.17659768858999983,0.0007958615344304987,0.11684696651465847,0.0008657922758590483,5.608658449599411e-05,4.0568958044118705e-07,4.1532470797666526e-05,3.549783828860387e-07,9815210
0.4973468295061447,0.24950371148315406,0.0005773598610671345,0.1625988341011127,0.001540234171374927,0.03285152078713768,0.0006550463111033314,0.47986044847076714,0.0008421502964017774,0.037845337096506726,0.0022514481505795463,0.4837615483279839,0.000550734927486654,0.05185844083754298,0.0035112087065655747,0.3988798011729415,0.0006616113632190664,2.9542734520807266e-06,2.1883507052449826e-07,2.6989658698021454e-06,2.9178009403266435e-07,0.1625988341011127,0.001540234171374927,0.09429347881318352,0.0019775395873063827,0.0005901252401810637,1.750680564195986e-05,0.00047086012674521206,1.1671203761306573e-05,1374810
0.4908270807166556,0.24596981833774575,0.0008261399525887264,0.18012943134876816,0.0017925206759571647,0.02022684203769124,0.00038761424618624174,0.4846380587277915,0.00029797259537604726,0.08601975330916657,0.0033489121253899145,0.4815849328160505,0.0003982338145749059,0.07567129625466008,0.003369526581673792,0.3709424608367792,0.000653415796149571,3.123402467254164e-06,1.8740414803524981e-07,3.62314686201483e-06,2.1863817270779147e-07,0.18012943134876816,0.0017925206759571647,0.1254146039481499,0.001968368234863574,0.00028829004772755934,5.934464687782912e-06,0.0002133283885134594,4.060423207430413e-06,1584985
0.4904179524464653,0.24035377523652768,0.00020173203731655234,0.1814884583918677,0.0005185158687718085,0.0032264143026736274,2.611862834081427e-05,0.48392949711561806,9.286623410067297e-05,0.06665428130420818,0.0010119822928190932,0.4789735255730777,0.00012184874712798002,0.06612560819108161,0.0012186783969255666,0.385096645659106,0.00024259012551051617,4.3531047234690453e-07,7.637025830647448e-09,3.856698044476961e-07,7.637025830647448e-09,0.1814884583918677,0.0005185158687718085,0.12293083731792447,0.0006219975687770814,4.78841519581595e-05,3.4366616237913513e-07,3.238098952194518e-05,1.909256457661862e-07,12869259
0.4898162593655494,0.24127172398570534,0.00028714523107818425,0.1864674342174089,0.0008440786884650436,0.00516401077988149,4.437356001944083e-05,0.48233380553989025,7.169197622188569e-05,0.07153500852657882,0.0014944381106547393,0.4750096777838243,0.0002723540444050373,0.07265604463897474,0.0018868573489219031,0.38267305369337,0.00036593093968413025,8.15024571785648e-07,2.2639571438490218e-08,8.30117619411308e-07,3.018609525132029e-08,0.1864674342174089,0.0008440786884650436,0.13106432778456442,0.0009015831999188088,6.542836145723673e-05,5.282566668981051e-07,5.1542757641629395e-05,4.5279142876980436e-07,6516922
0.48771506819809407,0.24080919798663675,0.0006230199341088738,0.19564345101802527,0.0010570230401590493,0.011691858178243378,0.0001469597842520675,0.48051931588930785,9.131015974747612e-05,0.044745336443259266,0.0015597886132694956,0.4717826446675152,0.00035052866929328834,0.05924877996069726,0.0022266246310400305,0.38524220144331045,0.0004976483662594495,1.071415184427478e-06,4.797381422809603e-08,1.311284255567958e-06,6.396508563746139e-08,0.19564345101802527,0.0010570230401590493,0.1415681671836859,0.0013199195421290154,0.00013096851284270217,1.9189525691238413e-06,0.00010058509716490801,1.439214426842881e-06,3062309
0.4907825234969873,0.24325410657900237,0.0006339114124678793,0.18910197098200354,0.0011933257891894658,0.012906525616967195,0.00019276537129743528,0.4813917773412081,0.0003172131844680858,0.06684924558352714,0.002082483957774252,0.47639566968583574,0.0003719702222631721,0.06480383849146994,0.00264584633408608,0.3799050148309328,0.0006357995861849513,1.3560520331698477e-06,6.866086243897963e-08,1.630695482925766e-06,1.0299129365846943e-07,0.18910197098200354,0.0011933257891894658,0.12872315342256974,0.0015012697572282894,0.00015139720167795006,2.574782341461736e-06,0.00011706677045846025,1.3732172487795925e-06,2871238
0.48857228933838753,0.24061701822272108,0.0004538070914341346,0.18934086372130338,0.0011017496416016728,0.007225953342699432,9.75735831966383e-05,0.4769318058278134,0.0004893292714918969,0.07273514843909683,0.001780717893338649,0.47388870159887775,0.0003356621191534124,0.08995497486994594,0.002349634834073887,0.38642308963203037,0.000522603212305497,1.2590139767308167e-06,4.496478488324346e-08,1.6299734520175752e-06,5.620598110405432e-08,0.18934086372130338,0.0011017496416016728,0.12998105260553836,0.0013529903771367956,8.32972639962085e-05,1.1241196220810865e-06,6.89085328335706e-05,7.868837354567605e-07,4369356
0.490757689473403,0.24050823265578247,0.0004482907039444534,0.18249373498453966,0.0010383799369852854,0.007461648112968002,0.00011058773327851609,0.47953541045396575,0.0001976323749020356,0.08542330017848986,0.001984639428182901,0.47668172855538027,0.0003724776289820332,0.08911211385582801,0.002278820078037078,0.38343251031826964,0.0004234516622900992,1.0907579161259888e-06,4.319833331192035e-08,1.5659395825571128e-06,5.3997916639900435e-08,0.18249373498453966,0.0010383799369852854,0.12327767567222582,0.0012418440868844302,7.613706246225961e-05,1.5119416659172123e-06,7.948493329393344e-05,1.0799583327980087e-06,4574836
0.4825943250834635,0.23588274566111056,0.0005358253370059856,0.19826882485331995,0.0020269756303564284,0.02561819469119594,0.0005052898361182632,0.47731241046562295,0.00036024620690158185,0.04837150506696165,0.0022832557270926696,0.47003296516471055,0.0004165914763967839,0.060795455231719836,0.0027998146171099732,0.39572736837951217,0.0006808689662226668,3.01719830200114e-06,1.8175893385549036e-07,3.1989572358566304e-06,2.1811072062658842e-07,0.19826882485331995,0.0020269756303564284,0.14409666517129419,0.001980808861157134,0.0003449784564577207,6.543321618797653e-06,0.0002570071324716634,5.8162858833756916e-06,1328188
