Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Estimate Total Education,Margin of Error Total Education,Estimate Less than high school graduate,Margin of Error Less than high school graduate,Crime rate,Population
0.469079444379882,0.2290562144926437,0.0003204924900960884,0.1681870791682369,0.0007579579776323104,0.003498854571654795,2.7190667860774227e-05,0.45977033528426553,0.00014773757191138254,0.09058240169975289,0.0016843242302744248,0.4562481054315368,0.0002355397640443977,0.08156871945192387,0.0017847799836499317,0.3621142547777128,0.0003079355209241501,6.085300444862438e-07,1.4488810583005805e-08,6.616556832905984e-07,1.9318414110674408e-08,0.1681870791682369,0.0007579579776323104,0.11128203412330524,0.0008245582102788604,5.3415415016014735e-05,3.8636828221348814e-07,3.955445289160585e-05,3.3807224693680214e-07,0.007037456780342303,0.0003567628125888796,2.801170046047789e-06,1.4488810583005807e-07,1.9125229969567664e-06,1.1108088113637783e-07,1.9946262569271325e-06,4.829603527668602e-09,1.757975684071371e-06,4.829603527668602e-09,0.3011558683801147,0.0003702857024663517,0.04730881601959528,0.0008038875071804388,1.9429494991810784e-05,9815210
0.4708918818233663,0.23623207237267627,0.0005466488481230407,0.15394985235592484,0.001458305802668099,0.03110407773097822,0.0006202029887738352,0.45433563900946167,0.0007973545106229318,0.035832262208868725,0.0021316887804570628,0.4580292309737851,0.0005214401520314538,0.049099978818935276,0.003324439962653514,0.3776625265353903,0.0006264188316457333,2.797129292354156e-06,2.0719476239660418e-07,2.5554020695581184e-06,2.7625968319547226e-07,0.15394985235592484,0.001458305802668099,0.08927780584446877,0.001872350002857313,0.0005587352092628426,1.6575580991728333e-05,0.00044581406375669334,1.1050387327818889e-05,0.006885427279043151,0.0008301603480023941,2.1755450051643438e-05,2.7625968319547222e-06,1.132664701101436e-05,1.7611554803711354e-06,1.3743919238974743e-05,1.3812984159773613e-07,1.2569815585393986e-05,1.3812984159773613e-07,0.32009104453126586,0.00047205873366026316,0.03232203760926626,0.0018909975314730075,9.126929283570414e-05,1374810
0.468719890482814,0.2348911680769728,0.0007889300393439454,0.172016277527413,0.0017117843084290746,0.019315811122069777,0.0003701558332044749,0.46280962631283273,0.00028455170417169146,0.08214536429318711,0.0031980748135522806,0.459894015297866,0.0003802970889087071,0.07226300888163945,0.003217760780507555,0.3542349565655102,0.0006239854980368747,2.982722265950644e-06,1.7896333595703863e-07,3.459957828502747e-06,2.0879055861654508e-07,0.172016277527413,0.0017117843084290746,0.1197658436891694,0.001879711572002096,0.00027530526514724443,5.667172305306224e-06,0.00020371993076442898,3.877538945735838e-06,0.007006116330491468,0.0007098878992962533,1.8791150275489057e-05,1.7896333595703865e-06,7.605941778174142e-06,1.491361132975322e-06,1.2080025177100108e-05,8.948166797851932e-08,1.0260564594870215e-05,1.1930889063802577e-07,0.2946419553251759,0.0008810961573618202,0.03444030091602571,0.0015259607112603495,6.57690259642117e-05,1584985
0.46625204550126875,0.22851006735977197,0.0001917914598614705,0.17254540650062639,0.0004929654047811675,0.003067429038337136,2.4831602980360748e-05,0.46008331624684495,8.829014393017156e-05,0.06336981516372309,0.0009621157049495915,0.45537155588483463,0.00011584451039522098,0.06286719302444956,0.0011586266215178557,0.366120566872673,0.00023063621890969567,4.1386004967267915e-07,7.260702625836477e-09,3.6666548260474204e-07,7.260702625836477e-09,0.17254540650062639,0.0004929654047811675,0.11687327935027575,0.0005913479253612518,4.552460546399471e-05,3.2673161816264145e-07,3.078537913354666e-05,1.8151756564591192e-07,0.006510236402430018,0.00024552065929266044,2.0329967352342135e-06,7.260702625836477e-08,1.299665770024729e-06,7.260702625836477e-08,1.4666619304189682e-06,3.6303513129182384e-09,1.27788366214722e-06,3.6303513129182384e-09,0.3073369019155333,0.00017625355624218046,0.040314724598338875,0.0006569483735856844,1.6151432991173242e-05,12869259
0.4662503042877561,0.22966370056820262,0.00027333014942867745,0.1774961453019885,0.0008034685207252976,0.004915560787189217,4.2238666981356726e-05,0.45912784498525866,6.824274427260015e-05,0.06809332857987699,0.001422537962979264,0.45215609439590215,0.0002592505937682252,0.06916042959689749,0.0017960771947871808,0.3642619539791611,0.00034832533366088226,7.758122506779808e-07,2.1550340296610573e-08,7.901791442090544e-07,2.8733787062147435e-08,0.1774961453019885,0.0008034685207252976,0.12475858353492905,0.0008582063850786885,6.228048345720456e-05,5.028412735875801e-07,4.9062941408616744e-05,4.3100680593221153e-07,0.0059100371574101395,0.0003395615286069273,3.7353923180791664e-06,2.1550340296610577e-07,2.686609090310785e-06,2.0113650943503202e-07,2.930846280339038e-06,1.4366893531073718e-08,2.5285732614689743e-06,7.183446765536859e-09,0.3038452876197427,0.0003666431229130013,0.039385258257150176,0.0007547647516549577,2.3224083392980665e-05,6516922
0.4639241751830371,0.2290624502646353,0.00059262882756916,0.18609990250831251,0.0010054611268563007,0.011121525692733975,0.00013979104017865967,0.45707943391431094,8.685602169968951e-05,0.042562644987411254,0.001483701638631824,0.44876894023735675,0.0003334297715686855,0.056358606010309745,0.00211800918764707,0.36644996680253,0.00047337292386941116,1.0191512178422414e-06,4.563363661980185e-08,1.2473194009412505e-06,6.084484882640247e-08,0.18609990250831251,0.0010054611268563007,0.1346624278710822,0.001255533455532815,0.00012457982797205904,1.825345464792074e-06,9.567852477951787e-05,1.3690090985940555e-06,0.006295464395945797,0.0004135928598974708,8.822503079828358e-06,6.084484882640246e-07,4.639419723013188e-06,5.628148516442228e-07,6.221385792499652e-06,3.0422424413201236e-08,5.339135484516816e-06,3.0422424413201236e-08,0.30708167034502226,0.0006032766761137804,0.028999263399151678,0.0009084135929781887,4.084210477472266e-05,3062309
0.46771904955119825,0.23182280150865087,0.0006041218444913803,0.18021545165412536,0.001137247512294632,0.012300005818387999,0.00018370669682204712,0.4587696052326403,0.0003023063007365477,0.06370778116701599,0.001984621234056167,0.4540082809960397,0.00035449012645892797,0.06175849443564332,0.0025215093720525683,0.3620520372045165,0.0006059212867576692,1.2923267185166272e-06,6.543426422868998e-08,1.554063775431387e-06,9.815139634303496e-08,0.18021545165412536,0.001137247512294632,0.12267403196236054,0.0014307201873603064,0.0001442825526242614,2.4537849085758744e-06,0.00011156542050991642,1.3086852845737996e-06,0.006558967060623312,0.00048764885416431207,9.651553973731772e-06,6.543426422868998e-07,5.218382572238025e-06,6.379840762297273e-07,6.739729215555068e-06,3.271713211434499e-08,5.807290950296236e-06,4.907569817151748e-08,0.30110901728682327,0.0008233266296574917,0.03265317012106145,0.0011647299032706815,6.0657562939995616e-05,2871238
0.4637244617300825,0.22837970898744106,0.0004307273535499997,0.17971135905306787,0.00104571681747425,0.006858455539645166,9.26111822842209e-05,0.45267599036153916,0.0004644429452571585,0.06903598156263199,0.0016901540766870314,0.4497876524403224,0.00031859100265055714,0.08538004142231907,0.0022301370185539003,0.36677036981026606,0.0004960246387550034,1.1949829972157535e-06,4.2677964186276913e-08,1.547076201752538e-06,5.334745523284614e-08,0.17971135905306787,0.00104571681747425,0.12337047141219626,0.0012841799423650724,7.906092865507799e-05,1.066949104656923e-06,6.540398011546937e-05,7.468643732598459e-07,0.006117566081371398,0.0003854887115125462,5.761525165147383e-06,3.200847313970768e-07,3.8410167767649224e-06,3.6276269558335374e-07,4.385160820139953e-06,2.1338982093138457e-08,3.8303472857183524e-06,2.1338982093138457e-08,0.30976818711432813,0.000499972350442234,0.05598185926715455,0.001188261217856415,2.6022888662582346e-05,4369356
0.46694976686745737,0.2288405573203113,0.0004265429644522272,0.17364049271900542,0.0009880054452440772,0.007099664297743503,0.00010522283681018566,0.4562719095781081,0.0001880447181275779,0.08127919533201007,0.001888359445371857,0.4535566671563578,0.00035440777749836945,0.08478905513369514,0.0021682686323552026,0.36483120925652535,0.0004029089288405644,1.0378424333817138e-06,4.1102670628978776e-08,1.4899718103004804e-06,5.1378338286223465e-08,0.17364049271900542,0.0009880054452440772,0.11729715733415445,0.0011815990239065672,7.244345698357508e-05,1.438593472014257e-06,7.562891395732093e-05,1.0275667657244693e-06,0.00697019088526222,0.0004795654095636098,6.165400594346816e-06,4.110267062897877e-07,4.983698813763676e-06,3.1854569737458546e-07,4.418537092615218e-06,2.0551335314489388e-08,3.7608943625515577e-06,2.0551335314489388e-08,0.3027116128115074,0.00048501151342194947,0.05465381010864678,0.0011320703057986477,5.706078250067977e-05,4574836
0.4565915337650861,0.2231730856169918,0.0005069543915822983,0.18758585033489983,0.0019177596251444334,0.024237854028479854,0.00047806418202129885,0.45159421537316563,0.00034083568660655194,0.0457651873242188,0.0021602310268171066,0.4447069957724631,0.0003941450018679198,0.057519719373817314,0.002648957071890679,0.37440507832323455,0.0006441828869970451,2.8546278494796988e-06,1.7196553310118665e-07,3.0265933825808853e-06,2.0635863972142396e-07,0.18758585033489983,0.0019177596251444334,0.13633255498728977,0.001874080379736732,0.00032639058182605226,6.190759191642719e-06,0.00024315926380507791,5.502897059237973e-06,0.004898954106986605,0.0006572522675127354,1.582082904530917e-05,2.0635863972142397e-06,1.327573915541161e-05,2.3731243567963758e-06,1.403238750105683e-05,1.0317931986071198e-07,1.2003194210462828e-05,1.0317931986071198e-07,0.3222682240665506,0.000602567227986558,0.031224469707314864,0.0016615309808236654,4.199398318330978e-05,1328188
