Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Population
0.49252343713166463,0.2405041521429822,0.00033651029625842495,0.1765928550175202,0.0007958397512778362,0.00367372286358316,2.85496227838296e-05,0.48274907062863454,0.0001551213074524596,0.09510959468237327,0.00176850460850099,0.479050804217223,0.00024731174123754346,0.08564542008443854,0.001873981012391515,0.38021226368865274,0.0003233257457721093,6.389436004906803e-07,1.521294286882572e-08,6.947243910097078e-07,2.028392382510096e-08,0.1765928550175202,0.0007958397512778362,0.11684376835115938,0.0008657685786648717,5.608504937640415e-05,4.056784765020192e-07,4.153133403189422e-05,3.549686669392668e-07,0.007389179900436466,0.00037459336324005197,2.941168954639639e-06,1.521294286882572e-07,2.008108458684995e-06,1.1663256199433051e-07,9815210
0.497333487436204,0.24949701817423642,0.0005773443725283718,0.16259447214505274,0.0015401928522977347,0.03285063949613108,0.0006550287385097635,0.47984757549905915,0.0008421277044649466,0.037844321838934915,0.002251387752127378,0.48374857070345806,0.000550720153201416,0.05185704965757836,0.003511114513158961,0.39886910062778974,0.000661593614508191,2.9541941992923634e-06,2.1882919994758247e-07,2.6988934660201843e-06,2.917722665967767e-07,0.16259447214505274,0.0015401928522977347,0.09429094925008057,0.0019774865368596536,0.0005901094091919808,1.7506335995806598e-05,0.0004708474952205483,1.1670890663871066e-05,0.007272059029591412,0.0008767756611233139,2.297706599449616e-05,2.9177226659677665e-06,1.1962662930467842e-05,1.860048199554451e-06,1374810
0.4908137361220015,0.24596313091634664,0.000826117491515921,0.1801245339941986,0.0017924719409489114,0.020226292110805115,0.000387603707739606,0.4846248824001157,0.0002979644941044191,0.08601741460621955,0.0033488210752490376,0.4815718394966873,0.0003982229874037048,0.07566923890531009,0.0033694349710675824,0.37093237566223536,0.0006533980310969023,3.1233175482643513e-06,1.873990528958611e-07,3.6230483559866477e-06,2.186322283785046e-07,0.1801245339941986,0.0017924719409489114,0.12541119417896815,0.0019683147189161945,0.00028828220970479964,5.934303341702268e-06,0.0002133225885464552,4.060312812743657e-06,0.0073363605891181355,0.0007433495764869156,1.9676900554065414e-05,1.8739905289586108e-06,7.964459748074096e-06,1.5616587741321756e-06,1584985
0.4904064385289825,0.24034813226705454,0.00020172730109916938,0.18148419744847527,0.0005185036951780468,0.003226338553676551,2.611801513379365e-05,0.48391813553256535,9.286405380904409e-05,0.06665271641064957,0.0010119585337365487,0.47896228034516064,0.00012184588639171862,0.06612405570958617,0.001218649785080445,0.3850876044505228,0.00024258443003653663,4.3530025222989417e-07,7.636846530349022e-09,3.856607497826255e-07,7.636846530349022e-09,0.18148419744847527,0.0005185036951780468,0.12292795117660377,0.000621982965664276,4.7883027745288355e-05,3.436580938657059e-07,3.2380229288679845e-05,1.909211632587255e-07,0.006847502072972146,0.0002582399654237521,2.1383170284977257e-06,7.63684653034902e-08,1.3669955289324745e-06,7.63684653034902e-08,12869259
0.4898067876050046,0.2412670584239725,0.0002871396784432557,0.18646382842676285,0.0008440623661991628,0.00516391092147005,4.437270195128366e-05,0.4823244784703588,7.169058988727802e-05,0.0715336252273143,0.0014944092121450176,0.4750004923436957,0.00027234877779282776,0.07265463966181485,0.001886820862054329,0.3826656538011406,0.0003659238635404328,8.150088113501081e-07,2.263913364861411e-08,8.301015671158508e-07,3.018551153148548e-08,0.18646382842676285,0.0008440623661991628,0.13106179334454737,0.0009015657656666427,6.542709624449479e-05,5.28246451800996e-07,5.154176094001146e-05,4.5278267297228224e-07,0.006208631475574763,0.0003567172825233297,3.924116499093113e-06,2.2639133648614112e-07,2.8223453281938928e-06,2.1129858072039838e-07,6516922
0.48770434097668974,0.2408039014236404,0.0006230062308767855,0.19563914786901015,0.0010569997910922875,0.011691601017537294,0.00014695655189316374,0.48050874693742035,9.13081513939026e-05,0.04474435227614585,0.0015597543059476813,0.47177226787743004,0.0003505209594666103,0.05924747679247053,0.002226575656757793,0.38523372809758333,0.000497637420556611,1.0713916188076138e-06,4.797275905108718e-08,1.3112554140630494e-06,6.396367873478291e-08,0.19563914786901015,0.0010569997910922875,0.1415650534126089,0.0013198905106922452,0.000130965632209468,1.918910362043487e-06,0.00010058288481044612,1.4391827715326154e-06,0.006618161929491151,0.00043479310619968684,9.274733416543522e-06,6.396367873478291e-07,4.8772305035271966e-06,5.916640282967419e-07,3062309
0.4907708361001004,0.24324831377434483,0.0006338963166282479,0.18909746774547587,0.0011932973715677172,0.012906218263546699,0.00019276078082142498,0.48138031357367256,0.0003172056304167349,0.06684765364895874,0.002082434365917656,0.47638432489460897,0.0003719613642386713,0.06480229526581707,0.002645783326430494,0.3798959678488683,0.0006357844453807284,1.3560197404178605e-06,6.865922736292965e-08,1.630656649869579e-06,1.0298884104439445e-07,0.18909746774547587,0.0011932973715677172,0.12872008803513119,0.0015012340062904566,0.00015139359633525986,2.5747210261098614e-06,0.00011706398265379503,1.3731845472585928e-06,0.00688222930279166,0.0005116828919222332,1.0127236036032121e-05,6.865922736292964e-07,5.4755733821936384e-06,6.69427466788564e-07,2871238
0.48856210103588604,0.24061200058454932,0.0004537976280977446,0.18933691535575425,0.0011017266665806279,0.007225802658348061,9.757154847382768e-05,0.47692186026680566,0.0004893190674038847,0.0727336316774815,0.001780680759647355,0.4738788194963736,0.0003356551195194118,0.08995309901960509,0.0023495858366358825,0.38641503146864975,0.0005225923143488766,1.2589877222429376e-06,4.4963847222962066e-08,1.6299394618323748e-06,5.620480902870258e-08,0.18933691535575425,0.0011017266665806279,0.12997834208283313,0.0013529621629389285,8.329552698053722e-05,1.1240961805740515e-06,6.890709586918936e-05,7.868673264018361e-07,0.006445230270557439,0.0004061359500414048,6.070119375099878e-06,3.3722885417221544e-07,4.046746250066586e-06,3.821927013951775e-07,4369356
0.49074445964055907,0.24050174904119248,0.00044827861893548493,0.18248881532324715,0.0010383519443663424,0.007461446962055053,0.00011058475205732029,0.4795224831510235,0.00019762704713368763,0.08542099733941759,0.0019845859263255615,0.4766688781819194,0.00037246758773993915,0.08910971157381396,0.0022787586456655424,0.3834221737547736,0.00042344024689136025,1.090728511502866e-06,4.319716877239074e-08,1.5658973679991643e-06,5.3996460965488424e-08,0.18248881532324715,0.0010383519443663424,0.1232743523558978,0.0012418106092843028,7.613500996133868e-05,1.5119009070336758e-06,7.948279054119896e-05,1.0799292193097685e-06,0.007325375880422022,0.0005040029666518689,6.479575315858611e-06,4.319716877239074e-07,5.237656713652377e-06,3.347780579860282e-07,4574836
0.48258773919988956,0.23587952660895994,0.0005358180246877463,0.19826611911201933,0.002026947968560972,0.025617845084002402,0.0005052829405128679,0.4773058966634493,0.00036024129068219573,0.0483708449491689,0.002283224567885844,0.4700265507039024,0.00041658579124298316,0.0607946255663691,0.0027997764085108696,0.39572196795468384,0.0006808596745184184,3.017157126803456e-06,1.8175645342189491e-07,3.198913580225351e-06,2.181077441062739e-07,0.19826611911201933,0.002026947968560972,0.14409469870834407,0.001980781829391811,0.00034497374859475654,6.543232323188217e-06,0.0002570036251385594,5.816206509500637e-06,0.005177877845082943,0.0006946731649784824,1.6721593714814333e-05,2.1810774410627393e-06,1.4031598204170288e-05,2.50823905722215e-06,1328188
